1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2420.00,120.00,420.00,600.00,600.00,600.00,460.00,520.00,600.00,600.00,660.00,1980.00,600.00,600.00,480.00,40.00,20.00,540.00,2160.00,600.00
19,0.70,0.01,0.27,4.68,6.52,0.01,10.94,4.39,6.52,28,30.0,900.00,2850.00,750.00,840.00,900.00,540.00,480.00,900.00,1050.00,750.00,900.00,900.00,900.00,900.00,750.00,900.00,780.00,6780.00,900.00,2940.00,870.00,5490.00,900.00,810.00,3840.00,150.00,900.00,90.00
20,0.72,0.06,2.16,5.74,8.03,0.06,8.97,35.11,8.03,27,31.0,930.00,930.00,930.00,930.00,930.00,930.00,496.00,930.00,31.00,775.00,3410.00,930.00,31.00,589.00,31.00,930.00,1085.00,3658.00,713.00,930.00,2511.00,930.00,930.00,806.00,2852.00,434.00,930.00
21,0.73,0.06,2.16,0.94,0.95,0.06,0.94,35.11,0.95,28,32.0,832.00,960.00,896.00,32.00,960.00,1120.00,864.00,960.00,960.00,864.00,960.00,960.00,960.00,960.00,928.00,800.00,928.00,960.00,128.00,960.00,960.00,832.00,736.00,608.00,960.00,256.00,4000.00,896.00
22,0.72,0.06,2.16,0.94,0.95,0.06,0.94,35.11,0.95,28,32.0,960.00,224.00,960.00,768.00,960.00,3968.00,64.00,960.00,960.00,768.00,4032.00,256.00,864.00,960.00,960.00,160.00,960.00,1056.00,960.00,32.00,960.00,2976.00,768.00,960.00,384.00,960.00,192.00,1056.00
23,0.73,0.06,2.16,0.94,0.95,0.06,0.94,35.11,0.95,28,32.0,960.00,960.00,896.00,960.00,864.00,128.00,192.00,768.00,960.00,960.00,192.00,544.00,768.00,960.00,352.00,960.00,1056.00,4096.00,960.00,960.00,768.00,960.00,768.00,960.00,960.00,960.00,448.00,960.00
24,0.74,0.56,0.63,7.51,7.62,0.46,0.63,280.88,0.63,27,33.0,66.00,990.00,3894.00,990.00,990.00,990.00,759.00,990.00,1155.00,4059.00,726.00,759.00,990.00,990.00,3663.00,264.00,924.00,891.00,990.00,990.00,990.00,891.00,660.00,825.00,4092.00,3597.00,3399.00
25,0.74,0.56,0.63,7.51,7.62,0.46,0.63,280.88,0.63,27,33.0,990.00,264.00,3135.00,2244.00,429.00,3861.00,594.00,957.00,957.00,3960.00,3003.00,3003.00,3399.00,990.00,891.00,990.00,924.00,990.00,990.00,990.00,957.00,3564.00,957.00,792.00,2871.00,990.00,990.00
26,0.74,0.56,0.63,7.51,7.62,0.46,0.63,280.88,0.63,27,33.0,3861.00,990.00,957.00,990.00,990.00,231.00,33.00,3531.00,726.00,990.00,990.00,990.00,3960.00,990.00,528.00,792.00,990.00,990.00,3036.00,957.00,990.00,990.00,3894.00,3564.00,3564.00,429.00,264.00
27,0.76,0.56,0.63,7.51,7.62,0.46,0.63,280.88,0.63,27,33.0,957.00,66.00,1155.00,990.00,3861.00,363.00,957.00,990.00,990.00,99.00,990.00,693.00,990.00,957.00,990.00,990.00,33.00,759.00,825.00,4191.00,990.00,198.00,132.00,231.00,957.00,231.00,990.00
28,0.76,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,3468.00,1020.00,1020.00,986.00,34.00,646.00,204.00,102.00,952.00,782.00,1020.00,3468.00,1190.00,1190.00,170.00,1020.00,170.00,986.00,1020.00,1020.00,1020.00,1020.00,272.00,1020.00,1020.00,1020.00,1020.00,986.00
