1,0.51,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,4280.00,2780.00,2560.00,2980.00,5700.00,2540.00,3160.00,6340.00,3240.00,3100.00,5740.00,2880.00,6840.00,6220.00,6640.00,2860.00,2280.00,3200.00,5140.00,2500.00
2,0.57,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2280.00,2660.00,2800.00,3060.00,6240.00,2460.00,2740.00,2840.00,6240.00,3000.00,3100.00,2640.00,6460.00,3040.00,3040.00,3040.00,3160.00,4200.00,2200.00,5260.00
3,0.61,10000000000.00,10000000000.00,5.68,6.68,6.26,10000000000.00,5.68,10000000000.00,21,21.0,5565.00,2919.00,3066.00,4011.00,3045.00,3150.00,5523.00,3234.00,2856.00,2625.00,5103.00,3066.00,3129.00,7350.00,6594.00,5985.00,3738.00,5460.00,2814.00,5103.00,6510.00
4,0.63,0.85,0.60,5.68,6.68,6.26,0.60,5.68,0.69,20,20.0,5320.00,2640.00,6820.00,1860.00,6960.00,6800.00,3100.00,2300.00,6600.00,2800.00,2200.00,6040.00,3080.00,3680.00,2760.00,7000.00,6960.00,2520.00,3080.00,3100.00
5,0.64,8.52,6.03,5.01,6.65,5.90,6.03,5.01,6.90,21,21.0,6972.00,3087.00,2856.00,7098.00,3171.00,3276.00,2919.00,5712.00,3234.00,3318.00,6048.00,6363.00,2415.00,5124.00,7602.00,7014.00,7329.00,7434.00,3003.00,2814.00,2982.00
6,0.67,0.16,0.26,5.01,6.65,5.90,0.26,5.01,0.20,20,20.0,3000.00,2520.00,4320.00,2820.00,2920.00,3120.00,2720.00,6520.00,3200.00,7480.00,2260.00,2880.00,2760.00,3180.00,860.00,3520.00,5560.00,5660.00,2940.00,3360.00
7,0.66,0.16,0.26,11.10,2.83,3.53,0.26,11.10,0.20,19,19.0,5700.00,5795.00,2755.00,6403.00,2755.00,2641.00,2850.00,2394.00,3762.00,4731.00,2926.00,6080.00,4085.00,2793.00,5776.00,2850.00,2812.00,2546.00,5415.00
8,0.68,0.16,0.26,11.10,2.83,3.53,0.26,11.10,0.20,19,19.0,2793.00,6555.00,4826.00,2945.00,2926.00,6973.00,4750.00,2964.00,2850.00,2831.00,5510.00,5738.00,4655.00,4484.00,2945.00,2470.00,5187.00,1653.00,4161.00
9,0.67,0.16,0.26,11.10,2.83,3.53,0.26,11.10,0.20,19,19.0,5396.00,6289.00,4826.00,2413.00,3021.00,4788.00,6631.00,6118.00,2964.00,2964.00,6612.00,2850.00,5130.00,3344.00,5719.00,2679.00,2166.00,4864.00,3933.00
10,0.67,0.16,0.26,11.10,2.83,3.53,0.26,11.10,0.20,19,19.0,2907.00,3629.00,684.00,2907.00,2698.00,4788.00,5415.00,5225.00,3040.00,2964.00,4712.00,2318.00,2223.00,6536.00,2793.00,2584.00,7011.00,2812.00,4256.00
11,0.69,0.16,0.26,11.10,2.83,3.53,0.26,11.10,0.20,19,19.0,4826.00,5263.00,4085.00,2413.00,2527.00,2812.00,5985.00,2375.00,6270.00,7239.00,2698.00,2831.00,2679.00,2337.00,2888.00,2850.00,2603.00,2869.00,4199.00
12,0.70,1.63,2.56,3.46,5.18,5.31,2.56,3.46,2.04,18,18.0,1854.00,2430.00,4878.00,5760.00,2646.00,6300.00,2628.00,3276.00,4878.00,4302.00,2664.00,3222.00,2646.00,4338.00,6678.00,2808.00,6426.00,2736.00
13,0.70,1.63,2.56,3.46,5.18,5.31,2.56,3.46,2.04,18,18.0,4464.00,3690.00,2790.00,2682.00,2538.00,5112.00,4860.00,2250.00,2664.00,5292.00,5760.00,2610.00,2412.00,2682.00,2664.00,5400.00,2466.00,5004.00
14,0.70,1.63,2.56,0.58,0.56,0.59,2.56,0.58,2.04,19,19.0,6137.00,2508.00,2679.00,2850.00,4674.00,2660.00,6574.00,2489.00,2926.00,3629.00,5700.00,6213.00,4028.00,2717.00,2603.00,2641.00,5320.00,6669.00,2603.00
15,0.71,1.63,2.56,0.58,0.56,0.59,2.56,0.58,2.04,19,19.0,2831.00,2299.00,2850.00,5206.00,2926.00,5700.00,5567.00,2622.00,2755.00,2546.00,2869.00,2052.00,2907.00,2736.00,6441.00,3002.00,4731.00,2698.00,1520.00
16,0.71,1.63,2.56,0.58,0.56,0.59,2.56,0.58,2.04,19,19.0,2907.00,5453.00,2375.00,1881.00,4769.00,2565.00,6631.00,6764.00,5738.00,2983.00,2888.00,5282.00,2888.00,2565.00,5871.00,2717.00,5700.00,2717.00,4902.00
17,0.71,1.63,2.56,0.58,0.56,0.59,2.56,0.58,2.04,19,19.0,2793.00,2679.00,2603.00,2603.00,2755.00,2166.00,5700.00,4598.00,3933.00,2337.00,5662.00,2736.00,2394.00,4351.00,2907.00,2888.00,6460.00,1824.00,6137.00
18,0.71,2.22,2.51,5.80,5.63,5.95,2.51,5.80,2.42,18,18.0,4914.00,2412.00,6606.00,1908.00,2250.00,3330.00,2826.00,2430.00,4554.00,2556.00,2088.00,5940.00,2430.00,6390.00,2574.00,2646.00,2214.00,2556.00
19,0.71,2.22,2.51,5.80,5.63,5.95,2.51,5.80,2.42,18,18.0,5598.00,4446.00,2664.00,4716.00,2664.00,5436.00,630.00,5220.00,2628.00,6858.00,5436.00,2790.00,3150.00,4176.00,5436.00,2448.00,5022.00,2772.00
