1,0.48,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,10,10.0,1530.00,1470.00,3110.00,1490.00,1480.00,1400.00,1520.00,1340.00,1560.00,1270.00
2,0.55,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,10,10.0,1610.00,1440.00,2620.00,3140.00,1340.00,1460.00,2740.00,1560.00,2910.00,1500.00
3,0.57,10000000000.00,10000000000.00,6.95,5.33,5.39,10000000000.00,6.95,10000000000.00,11,11.0,1518.00,1738.00,1551.00,3685.00,3630.00,3630.00,2937.00,2937.00,1617.00,1408.00,2783.00
4,0.60,3.87,3.13,69.49,53.26,53.87,3.13,69.49,3.56,10,10.0,1480.00,2020.00,1830.00,2920.00,1460.00,1550.00,1330.00,2550.00,2270.00,1370.00
5,0.60,3.87,3.13,0.69,0.53,0.62,3.13,0.69,3.56,11,11.0,1738.00,2321.00,1738.00,2618.00,1749.00,1540.00,1639.00,1243.00,1463.00,1452.00,1727.00
6,0.61,3.87,3.13,0.69,0.53,0.62,3.13,0.69,3.56,11,11.0,1760.00,1738.00,3762.00,1573.00,3905.00,1628.00,2783.00,1760.00,3894.00,1760.00,1650.00
7,0.61,3.87,3.13,0.69,0.53,0.62,3.13,0.69,3.56,11,11.0,1221.00,1606.00,1045.00,1430.00,2728.00,3036.00,2629.00,1628.00,3718.00,3102.00,2222.00
8,0.62,3.87,3.13,0.69,0.53,0.62,3.13,0.69,3.56,11,11.0,2959.00,1155.00,4114.00,1595.00,2233.00,1628.00,3652.00,1628.00,990.00,1760.00,2706.00
9,0.61,6.74,9.34,6.89,5.34,6.23,9.34,6.89,8.09,12,12.0,1764.00,3048.00,1752.00,1572.00,3192.00,1704.00,1800.00,1536.00,1272.00,1524.00,1572.00,1728.00
10,0.63,6.74,9.34,6.89,5.34,6.23,9.34,6.89,8.09,12,12.0,3492.00,1716.00,3840.00,4152.00,1800.00,1704.00,3816.00,1728.00,4020.00,2676.00,2112.00,1536.00
11,0.62,6.74,9.34,6.89,5.34,6.23,9.34,6.89,8.09,12,12.0,1872.00,2232.00,3516.00,1764.00,1800.00,1536.00,1908.00,2964.00,3360.00,1740.00,3732.00,3300.00
12,0.63,6.74,9.34,6.89,5.34,6.23,9.34,6.89,8.09,12,12.0,3888.00,1596.00,1776.00,1440.00,1452.00,1728.00,1812.00,1800.00,1776.00,3744.00,1596.00,1668.00
13,0.64,6.74,9.34,6.89,5.34,6.23,9.34,6.89,8.09,12,12.0,1632.00,4128.00,3288.00,1776.00,2592.00,1344.00,3672.00,1860.00,3504.00,1896.00,4104.00,1848.00
14,0.62,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,1518.00,1617.00,1584.00,1507.00,1606.00,1298.00,1650.00,2915.00,1584.00,1397.00,1606.00
15,0.64,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,3311.00,1595.00,2695.00,3124.00,1518.00,3410.00,1331.00,1221.00,2277.00,3828.00,1738.00
16,0.65,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,1507.00,3850.00,1562.00,1738.00,1628.00,2959.00,1562.00,1551.00,2772.00,1958.00,1606.00
17,0.62,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,1474.00,1628.00,1628.00,1386.00,1738.00,1562.00,1727.00,1540.00,1496.00,2607.00,1078.00
18,0.65,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,2596.00,1551.00,1298.00,1562.00,1683.00,1628.00,3432.00,3641.00,1474.00,1056.00,1595.00
19,0.64,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,3135.00,1694.00,1694.00,1496.00,3025.00,1705.00,3190.00,3322.00,1694.00,1254.00,1650.00
20,0.64,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,1496.00,1683.00,3036.00,1584.00,1309.00,3652.00,1452.00,1056.00,1507.00,2827.00,3927.00
21,0.65,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,3003.00,3355.00,891.00,1408.00,1683.00,1683.00,1551.00,1738.00,2409.00,3828.00,3003.00
22,0.65,0.90,0.81,68.86,53.35,62.32,0.81,68.86,0.97,11,11.0,1287.00,3212.00,1617.00,1342.00,2332.00,1485.00,2640.00,1342.00,1672.00,1771.00,1408.00
23,0.65,8.99,8.05,2.26,3.30,3.34,8.05,2.26,9.70,12,12.0,1716.00,4092.00,1860.00,4080.00,1500.00,3384.00,1632.00,2928.00,1512.00,1536.00,2748.00,1452.00
