50,0.78,0.65,0.85,0.84,0.71,0.65,0.69,0.61,0.71,15,13.0,390.00,377.00,221.00,1378.00,390.00,390.00,390.00,351.00,377.00,1625.00,1599.00,390.00,377.00,364.00,390.00
51,0.79,0.65,0.85,0.84,0.71,0.65,0.69,0.61,0.71,15,13.0,130.00,390.00,1482.00,390.00,377.00,390.00,390.00,286.00,13.00,364.00,390.00,377.00,377.00,390.00,13.00
52,0.78,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,406.00,98.00,406.00,1106.00,364.00,406.00,406.00,420.00,1708.00,420.00,392.00,420.00,420.00,476.00
53,0.79,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,1400.00,406.00,238.00,56.00,322.00,252.00,420.00,406.00,420.00,392.00,322.00,420.00,420.00,294.00
54,0.79,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,322.00,420.00,224.00,28.00,420.00,420.00,434.00,420.00,420.00,392.00,420.00,406.00,420.00,420.00
55,0.79,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,1512.00,658.00,42.00,420.00,420.00,364.00,966.00,420.00,420.00,420.00,1722.00,420.00,14.00,1652.00
56,0.79,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,112.00,364.00,406.00,420.00,420.00,1274.00,392.00,420.00,420.00,420.00,420.00,364.00,406.00,84.00
57,0.78,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,224.00,182.00,196.00,420.00,476.00,406.00,378.00,420.00,406.00,420.00,420.00,294.00,420.00,420.00
58,0.78,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,420.00,1638.00,1386.00,2212.00,1596.00,420.00,420.00,420.00,1512.00,420.00,364.00,112.00,140.00,420.00
59,0.79,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,238.00,126.00,1736.00,406.00,420.00,420.00,420.00,224.00,392.00,420.00,1610.00,420.00,420.00,420.00
60,0.80,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,420.00,1358.00,420.00,350.00,1638.00,420.00,350.00,420.00,1638.00,168.00,420.00,1680.00,420.00,420.00
61,0.80,2.02,2.07,8.40,7.13,2.02,6.88,2.04,7.13,14,14.0,420.00,406.00,420.00,56.00,420.00,420.00,420.00,420.00,378.00,1792.00,420.00,420.00,1750.00,1386.00
62,0.80,2.02,2.07,0.12,0.14,2.02,0.25,2.04,0.14,15,13.0,390.00,130.00,312.00,377.00,390.00,1521.00,364.00,390.00,390.00,390.00,1313.00,13.00,1235.00,390.00,390.00
63,0.80,2.02,2.07,0.12,0.14,2.02,0.25,2.04,0.14,15,13.0,390.00,1599.00,91.00,286.00,377.00,26.00,364.00,390.00,13.00,143.00,130.00,390.00,390.00,377.00,351.00
64,0.81,2.02,2.07,0.12,0.14,2.02,0.25,2.04,0.14,15,13.0,377.00,377.00,1521.00,390.00,390.00,13.00,78.00,1248.00,65.00,377.00,442.00,390.00,26.00,377.00,390.00
65,0.81,2.02,2.07,0.12,0.14,2.02,0.25,2.04,0.14,15,13.0,390.00,325.00,390.00,390.00,390.00,377.00,1703.00,390.00,390.00,1612.00,429.00,377.00,390.00,390.00,390.00
66,0.81,6.64,3.68,0.12,0.14,6.64,0.25,6.83,0.14,16,12.0,360.00,360.00,192.00,744.00,360.00,360.00,360.00,360.00,12.00,360.00,336.00,624.00,360.00,360.00,960.00,360.00
67,0.81,6.64,3.68,0.12,0.14,6.64,0.25,6.83,0.14,16,12.0,1380.00,300.00,408.00,228.00,360.00,360.00,348.00,360.00,360.00,360.00,360.00,96.00,288.00,24.00,180.00,360.00
68,0.80,6.64,3.68,0.12,0.14,6.64,0.25,6.83,0.14,16,12.0,624.00,1572.00,360.00,1152.00,348.00,1296.00,360.00,348.00,3792.00,216.00,360.00,360.00,1500.00,288.00,1464.00,348.00
