1,0.02,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
21,0.15,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
22,0.15,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
23,0.16,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
24,0.16,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
25,0.15,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
26,0.16,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
27,0.16,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
28,0.17,1.23,1.12,3.56,2.67,1.23,10000000000000.00,1.15,10000000000000.00,21,13.0,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00
29,0.17,12.33,11.18,1.74,2.15,1.72,100000000000000.00,1.74,100000000000000.00,22,12.0,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
30,0.17,12.33,11.18,1.74,2.15,1.72,100000000000000.00,1.74,100000000000000.00,22,12.0,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
31,0.18,12.33,11.18,1.74,2.15,1.72,100000000000000.00,1.74,100000000000000.00,22,12.0,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00
32,0.19,0.65,0.58,1.74,2.15,0.65,100000000000000.00,0.63,100000000000000.00,21,11.0,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
33,0.17,0.65,0.58,1.74,2.15,0.65,100000000000000.00,0.63,100000000000000.00,21,11.0,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
34,0.19,0.65,0.58,1.74,2.15,0.65,100000000000000.00,0.63,100000000000000.00,21,11.0,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
35,0.19,0.65,0.58,1.74,2.15,0.65,100000000000000.00,0.63,100000000000000.00,21,11.0,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
36,0.19,0.65,0.58,1.74,2.15,0.65,100000000000000.00,0.63,100000000000000.00,21,11.0,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
