1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2220.00,600.00,600.00,180.00,600.00,100.00,600.00,560.00,600.00,580.00,2480.00,20.00,600.00,300.00,600.00,600.00,20.00,580.00,600.00,320.00
2,0.19,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,600.00,600.00,600.00,440.00,580.00,2500.00,480.00,600.00,2460.00,580.00,580.00,600.00,580.00,600.00,520.00,600.00,280.00,600.00,600.00,580.00
3,0.25,10000000000.00,10000000000.00,0.18,0.01,0.02,10000000000.00,0.18,10000000000.00,21,21.0,609.00,504.00,630.00,630.00,630.00,126.00,630.00,609.00,168.00,21.00,588.00,2058.00,630.00,609.00,630.00,588.00,1428.00,630.00,630.00,630.00,609.00
4,0.33,12.11,52.82,1.84,0.09,0.17,52.82,1.84,61.21,22,22.0,594.00,2684.00,638.00,638.00,660.00,286.00,616.00,1870.00,418.00,2596.00,374.00,1738.00,198.00,572.00,660.00,154.00,638.00,572.00,22.00,660.00,154.00,660.00
5,0.40,0.22,0.65,1.84,0.09,0.17,0.65,1.84,0.48,23,23.0,690.00,621.00,667.00,644.00,483.00,2737.00,690.00,690.00,46.00,644.00,2806.00,690.00,138.00,2323.00,23.00,690.00,667.00,667.00,690.00,2507.00,690.00,2576.00,2599.00
6,0.46,2.86,0.20,18.43,0.88,1.69,0.20,18.43,0.50,22,22.0,660.00,440.00,220.00,484.00,22.00,660.00,44.00,22.00,22.00,660.00,198.00,594.00,2860.00,110.00,22.00,2618.00,572.00,594.00,2552.00,2728.00,660.00,1518.00
7,0.50,28.64,2.05,0.02,3.44,4.39,2.05,0.02,5.01,23,23.0,644.00,391.00,2691.00,667.00,690.00,690.00,690.00,690.00,805.00,598.00,690.00,23.00,690.00,690.00,552.00,2783.00,759.00,345.00,575.00,2898.00,2898.00,667.00,759.00
8,0.54,1.84,1.86,0.16,34.45,43.87,1.86,0.16,2.40,24,24.0,720.00,696.00,384.00,696.00,720.00,192.00,2448.00,2808.00,2304.00,3144.00,720.00,456.00,720.00,48.00,2136.00,720.00,720.00,720.00,168.00,720.00,672.00,24.00,720.00,528.00
9,0.56,0.57,0.77,0.16,34.45,43.87,0.77,0.16,0.62,25,25.0,150.00,3050.00,750.00,2475.00,75.00,750.00,2300.00,2225.00,700.00,725.00,750.00,2525.00,2900.00,750.00,575.00,700.00,750.00,750.00,750.00,750.00,2975.00,25.00,800.00,2475.00,525.00
10,0.58,8.50,6.21,1.58,344.49,438.70,6.21,1.58,7.85,26,26.0,754.00,494.00,780.00,780.00,2496.00,780.00,702.00,598.00,780.00,416.00,780.00,26.00,2574.00,780.00,728.00,598.00,494.00,754.00,780.00,910.00,780.00,780.00,780.00,780.00,286.00,780.00
11,0.60,0.54,0.36,1.58,344.49,438.70,0.36,1.58,0.31,25,25.0,725.00,375.00,2550.00,675.00,200.00,750.00,750.00,550.00,750.00,750.00,2400.00,750.00,500.00,25.00,175.00,750.00,750.00,750.00,750.00,750.00,750.00,525.00,1900.00,450.00,725.00
12,0.62,5.42,3.63,0.30,1.10,0.60,3.63,0.30,3.14,26,26.0,754.00,234.00,780.00,2938.00,780.00,364.00,2730.00,26.00,780.00,780.00,780.00,286.00,52.00,728.00,1898.00,780.00,130.00,3172.00,182.00,780.00,390.00,624.00,832.00,52.00,754.00,780.00
13,0.64,0.50,1.13,0.30,1.10,0.60,1.13,0.30,1.15,27,27.0,810.00,810.00,108.00,189.00,810.00,810.00,1863.00,729.00,2754.00,3321.00,27.00,783.00,81.00,783.00,891.00,783.00,810.00,216.00,810.00,810.00,810.00,810.00,3213.00,810.00,810.00,810.00,3186.00
14,0.64,1.91,0.52,2.98,11.00,6.02,0.52,2.98,0.73,26,26.0,780.00,780.00,728.00,780.00,780.00,52.00,780.00,2886.00,2574.00,2860.00,780.00,780.00,3016.00,780.00,3016.00,780.00,754.00,546.00,780.00,2418.00,676.00,780.00,754.00,754.00,2522.00,442.00
15,0.66,1.91,0.52,2.98,11.00,6.02,0.52,2.98,0.73,26,26.0,2886.00,728.00,754.00,780.00,3250.00,208.00,780.00,780.00,780.00,442.00,572.00,1794.00,26.00,780.00,26.00,780.00,702.00,728.00,754.00,2288.00,26.00,1560.00,780.00,780.00,780.00,676.00
16,0.67,19.13,5.23,1.42,2.17,1.97,5.23,1.42,7.27,27,27.0,135.00,864.00,810.00,810.00,3510.00,2322.00,702.00,3321.00,810.00,3267.00,2052.00,783.00,135.00,189.00,756.00,810.00,594.00,1971.00,810.00,810.00,3402.00,2700.00,810.00,675.00,810.00,783.00,810.00
17,0.68,19.13,5.23,1.42,2.17,1.97,5.23,1.42,7.27,27,27.0,783.00,810.00,810.00,810.00,405.00,3348.00,621.00,810.00,567.00,270.00,675.00,810.00,621.00,810.00,810.00,891.00,783.00,810.00,702.00,810.00,945.00,810.00,324.00,405.00,243.00,675.00,621.00
18,0.68,0.12,0.15,1.42,2.17,1.97,0.15,1.42,0.05,26,26.0,130.00,780.00,702.00,624.00,624.00,780.00,780.00,780.00,26.00,156.00,780.00,26.00,780.00,806.00,676.00,442.00,780.00,780.00,364.00,78.00,754.00,2444.00,780.00,780.00,2548.00,624.00
19,0.70,0.12,0.15,1.42,2.17,1.97,0.15,1.42,0.05,26,26.0,2886.00,780.00,702.00,780.00,3042.00,3094.00,364.00,754.00,780.00,858.00,780.00,780.00,2730.00,2964.00,208.00,468.00,754.00,182.00,780.00,78.00,2210.00,182.00,780.00,780.00,624.00,780.00
20,0.70,1.24,1.53,1.61,15.85,1.98,1.53,1.61,0.50,27,27.0,810.00,918.00,810.00,3456.00,108.00,621.00,810.00,702.00,783.00,810.00,3402.00,810.00,810.00,810.00,3186.00,810.00,810.00,3078.00,540.00,783.00,2592.00,567.00,810.00,2997.00,27.00,810.00,459.00
21,0.72,1.24,1.53,1.61,15.85,1.98,1.53,1.61,0.50,27,27.0,810.00,81.00,810.00,3375.00,594.00,810.00,810.00,297.00,3321.00,108.00,729.00,891.00,810.00,783.00,702.00,729.00,540.00,2700.00,810.00,810.00,810.00,810.00,783.00,3078.00,2889.00,3348.00,810.00
22,0.71,7.90,1.12,16.10,158.53,19.84,1.12,16.10,1.52,26,26.0,156.00,3016.00,624.00,780.00,754.00,6136.00,338.00,2496.00,754.00,2548.00,754.00,3068.00,754.00,3016.00,2964.00,754.00,546.00,780.00,364.00,780.00,78.00,312.00,780.00,2678.00,2470.00,676.00
23,0.73,7.90,1.12,16.10,158.53,19.84,1.12,16.10,1.52,26,26.0,754.00,780.00,3068.00,2834.00,156.00,234.00,546.00,2652.00,780.00,3198.00,780.00,52.00,338.00,1274.00,208.00,2626.00,780.00,2574.00,780.00,2626.00,780.00,26.00,3172.00,754.00,780.00,754.00
24,0.72,7.90,1.12,16.10,158.53,19.84,1.12,16.10,1.52,26,26.0,780.00,2288.00,130.00,1898.00,780.00,780.00,780.00,754.00,2262.00,2574.00,780.00,728.00,780.00,676.00,780.00,780.00,780.00,338.00,780.00,780.00,3094.00,780.00,5330.00,780.00,780.00,26.00
25,0.73,7.90,1.12,16.10,158.53,19.84,1.12,16.10,1.52,26,26.0,754.00,780.00,780.00,2860.00,780.00,780.00,780.00,780.00,312.00,780.00,156.00,2470.00,780.00,780.00,156.00,754.00,780.00,780.00,130.00,208.00,780.00,780.00,2652.00,3276.00,2392.00,2548.00
26,0.74,78.96,11.22,3.83,6.57,7.18,11.22,3.83,15.24,27,27.0,810.00,3402.00,135.00,513.00,810.00,837.00,3105.00,702.00,810.00,54.00,810.00,810.00,810.00,4995.00,810.00,810.00,189.00,783.00,3186.00,810.00,783.00,486.00,243.00,2673.00,810.00,783.00,108.00
27,0.75,78.96,11.22,3.83,6.57,7.18,11.22,3.83,15.24,27,27.0,810.00,810.00,810.00,108.00,621.00,810.00,810.00,810.00,648.00,513.00,945.00,2997.00,810.00,3078.00,783.00,810.00,81.00,675.00,2646.00,513.00,810.00,108.00,810.00,810.00,3456.00,783.00,432.00
28,0.75,1.00,1.12,3.83,6.57,7.18,1.12,3.83,1.13,26,26.0,754.00,312.00,416.00,2600.00,3016.00,780.00,2496.00,2600.00,338.00,624.00,52.00,780.00,572.00,780.00,442.00,3224.00,780.00,780.00,780.00,754.00,780.00,780.00,780.00,26.00,2496.00,364.00
29,0.75,1.00,1.12,3.83,6.57,7.18,1.12,3.83,1.13,26,26.0,780.00,780.00,884.00,780.00,780.00,780.00,780.00,780.00,780.00,26.00,754.00,338.00,3016.00,780.00,442.00,260.00,780.00,546.00,780.00,780.00,598.00,3328.00,780.00,2860.00,780.00,2860.00
30,0.76,1.00,1.12,3.83,6.57,7.18,1.12,3.83,1.13,26,26.0,780.00,780.00,780.00,364.00,442.00,78.00,676.00,286.00,312.00,780.00,780.00,468.00,3172.00,416.00,780.00,728.00,1274.00,26.00,338.00,780.00,624.00,780.00,26.00,3120.00,728.00,3120.00
31,0.76,1.00,1.12,3.83,6.57,7.18,1.12,3.83,1.13,26,26.0,780.00,728.00,780.00,2912.00,52.00,780.00,780.00,1768.00,416.00,2834.00,780.00,780.00,754.00,780.00,780.00,3198.00,780.00,676.00,3016.00,468.00,780.00,780.00,182.00,3276.00,910.00,208.00
32,0.76,1.00,1.12,3.83,6.57,7.18,1.12,3.83,1.13,26,26.0,780.00,182.00,780.00,780.00,3198.00,780.00,780.00,780.00,572.00,780.00,780.00,780.00,780.00,780.00,2860.00,182.00,780.00,780.00,780.00,3172.00,754.00,3042.00,780.00,780.00,780.00,754.00
33,0.77,10.03,11.21,0.96,1.26,0.79,11.21,0.96,11.28,27,27.0,810.00,756.00,756.00,2646.00,945.00,783.00,810.00,2754.00,108.00,567.00,270.00,810.00,810.00,756.00,810.00,27.00,783.00,783.00,810.00,108.00,702.00,3402.00,810.00,3348.00,810.00,810.00,621.00
34,0.77,10.03,11.21,0.96,1.26,0.79,11.21,0.96,11.28,27,27.0,810.00,810.00,27.00,189.00,27.00,783.00,810.00,3267.00,810.00,108.00,756.00,27.00,810.00,729.00,810.00,3267.00,810.00,540.00,810.00,2295.00,810.00,810.00,810.00,594.00,2943.00,756.00,2673.00
35,0.77,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,468.00,754.00,338.00,26.00,26.00,3224.00,780.00,156.00,572.00,2522.00,780.00,520.00,104.00,2704.00,780.00,208.00,780.00,130.00,728.00,2782.00,728.00,3276.00,754.00,780.00,156.00,780.00
36,0.77,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,546.00,390.00,390.00,52.00,780.00,780.00,728.00,676.00,390.00,780.00,2210.00,780.00,754.00,3042.00,572.00,2860.00,260.00,676.00,650.00,780.00,624.00,3198.00,3068.00,2678.00,780.00,3016.00
37,0.78,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,208.00,52.00,780.00,780.00,3198.00,156.00,208.00,494.00,3198.00,780.00,780.00,780.00,780.00,780.00,468.00,26.00,52.00,208.00,6500.00,780.00,754.00,26.00,26.00,780.00,780.00,2860.00
38,0.76,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,910.00,676.00,780.00,26.00,364.00,780.00,208.00,2808.00,780.00,780.00,468.00,780.00,3016.00,780.00,52.00,780.00,2574.00,1612.00,780.00,104.00,780.00,156.00,2574.00,104.00,5330.00,442.00
39,0.78,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,130.00,780.00,780.00,2028.00,624.00,780.00,364.00,3198.00,780.00,104.00,624.00,26.00,728.00,780.00,780.00,3276.00,780.00,780.00,3198.00,2990.00,754.00,520.00,364.00,754.00,2288.00,780.00
