1,0.43,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,6340.00,2220.00,5900.00,4860.00,3020.00,2520.00,3000.00,2980.00,6700.00,5400.00,4920.00,4680.00,2980.00,3240.00,5660.00,2860.00,2640.00,3140.00,2960.00,2980.00
2,0.45,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,3940.00,3020.00,3100.00,2980.00,7220.00,5840.00,3020.00,3780.00,5380.00,4940.00,6480.00,2500.00,2320.00,3780.00,2980.00,6420.00,6560.00,5880.00,2540.00,4420.00
3,0.62,1000000000.00,1000000000.00,18.21,16.42,17.78,1000000000.00,18.21,1000000000.00,19,21.0,2772.00,7287.00,5439.00,2898.00,6384.00,3192.00,2835.00,2877.00,3108.00,5145.00,2898.00,5985.00,2478.00,3297.00,2415.00,5460.00,3150.00,3024.00,4179.00
4,0.64,1000000000.00,1000000000.00,0.93,0.92,17.78,0.91,18.21,0.92,18,20.0,3960.00,2640.00,2520.00,3040.00,6200.00,1620.00,2120.00,5040.00,2500.00,3020.00,6480.00,4540.00,2540.00,2620.00,2440.00,7000.00,2880.00,2400.00
5,0.65,1000000000.00,1000000000.00,0.81,1.03,1.13,0.91,0.81,0.92,17,21.0,3255.00,3297.00,7308.00,2919.00,3045.00,5670.00,3276.00,5754.00,2772.00,2919.00,3213.00,6951.00,3108.00,7896.00,3234.00,6552.00,3108.00
6,0.67,1000000000.00,1000000000.00,0.81,1.03,1.13,0.91,0.81,0.92,17,21.0,5607.00,4158.00,5313.00,3192.00,6405.00,5838.00,2856.00,2793.00,6300.00,3360.00,3129.00,2478.00,6993.00,3255.00,5712.00,3087.00,6951.00
7,0.69,1000000000.00,1000000000.00,0.99,0.53,1.13,0.62,0.81,0.53,16,20.0,2740.00,3060.00,6240.00,6880.00,5800.00,2620.00,6960.00,2920.00,2460.00,3060.00,5700.00,2880.00,6960.00,2940.00,3120.00,6100.00
8,0.70,1000000000.00,1000000000.00,0.58,0.80,0.66,0.62,0.58,0.53,15,19.0,2698.00,4028.00,4902.00,5472.00,2888.00,2888.00,2755.00,2774.00,2508.00,2869.00,2622.00,4370.00,2242.00,3040.00,2964.00
9,0.67,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,4860.00,6580.00,5220.00,2880.00,3120.00,3160.00,5220.00,2980.00,4300.00,5740.00,1900.00,2780.00,2900.00,5680.00
10,0.63,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,2800.00,2720.00,3160.00,2700.00,2820.00,2940.00,5460.00,3440.00,2700.00,2880.00,2900.00,4600.00,2900.00,7180.00
11,0.68,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,2220.00,6640.00,2820.00,3220.00,4420.00,2940.00,3020.00,4980.00,2780.00,3000.00,4340.00,2960.00,6540.00,2520.00
12,0.70,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,2780.00,2840.00,6640.00,4520.00,5700.00,3040.00,2820.00,3000.00,2800.00,2840.00,3080.00,5240.00,2700.00,2940.00
13,0.69,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,3080.00,5200.00,2840.00,4540.00,5680.00,6380.00,5300.00,6460.00,2880.00,6480.00,6920.00,3160.00,2200.00,2800.00
14,0.71,1000000000.00,1000000000.00,0.40,0.45,0.10,0.62,0.40,0.53,14,20.0,3000.00,6080.00,5980.00,2780.00,3040.00,4280.00,5720.00,6220.00,2860.00,5560.00,6000.00,4560.00,4120.00,3120.00
15,0.70,1000000000.00,1000000000.00,47.61,47.98,0.10,36.85,0.40,47.98,13,21.0,3087.00,6741.00,2877.00,6363.00,5796.00,6447.00,3213.00,2982.00,6825.00,4788.00,4977.00,7392.00,6195.00
16,0.70,1000000000.00,1000000000.00,47.61,47.98,0.10,36.85,0.40,47.98,13,21.0,3822.00,2982.00,5775.00,4998.00,2541.00,3108.00,7098.00,7350.00,5439.00,3255.00,2793.00,6741.00,2478.00
17,0.71,1000000000.00,1000000000.00,47.61,47.98,0.10,36.85,0.40,47.98,13,21.0,3213.00,6195.00,2856.00,7560.00,3066.00,2856.00,2814.00,3045.00,7182.00,3192.00,3129.00,7434.00,3318.00
18,0.70,1000000000.00,1000000000.00,47.61,47.98,0.10,36.85,0.40,47.98,13,21.0,3087.00,3150.00,2961.00,2268.00,3087.00,2856.00,5355.00,2037.00,6342.00,7497.00,4368.00,2730.00,3360.00
