1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,580.00,560.00,680.00,600.00,2200.00,600.00,600.00,600.00,600.00,480.00,20.00,2020.00,1920.00,20.00,600.00,360.00,580.00,500.00,700.00,700.00
2,0.19,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,520.00,600.00,600.00,600.00,540.00,600.00,520.00,600.00,600.00,2200.00,600.00,600.00,80.00,2380.00,40.00,600.00,2360.00,700.00,320.00,480.00
3,0.23,1000000000.00,1000000000.00,0.02,0.02,0.06,1000000000.00,0.02,1000000000.00,21,21.0,210.00,21.00,2583.00,21.00,42.00,42.00,630.00,987.00,630.00,105.00,630.00,630.00,630.00,609.00,588.00,2625.00,903.00,630.00,4746.00,630.00,609.00
4,0.36,73.07,64.47,0.07,0.09,0.23,64.47,0.07,69.85,22,22.0,660.00,660.00,660.00,2090.00,2640.00,638.00,660.00,638.00,308.00,286.00,660.00,2156.00,660.00,660.00,2816.00,704.00,638.00,2618.00,660.00,2310.00,660.00,660.00
5,0.42,1.03,1.18,0.07,0.09,0.23,1.18,0.07,1.12,23,23.0,690.00,690.00,2783.00,2668.00,690.00,2553.00,299.00,391.00,621.00,690.00,644.00,115.00,92.00,690.00,667.00,667.00,690.00,690.00,2185.00,690.00,2277.00,690.00,2208.00
6,0.49,0.18,0.36,0.29,0.36,0.92,0.36,0.29,0.43,22,22.0,660.00,2706.00,660.00,660.00,638.00,418.00,660.00,572.00,44.00,1320.00,3124.00,638.00,660.00,704.00,660.00,22.00,660.00,660.00,638.00,572.00,660.00,2156.00
7,0.53,0.18,0.36,0.33,0.03,0.41,0.36,0.33,0.43,21,21.0,630.00,2583.00,2457.00,609.00,651.00,2436.00,3780.00,2163.00,2604.00,588.00,2289.00,189.00,294.00,2394.00,630.00,609.00,630.00,630.00,609.00,546.00,2016.00
8,0.55,0.72,1.45,8.67,43.77,6.59,1.45,8.67,1.70,20,20.0,1940.00,1900.00,580.00,600.00,600.00,600.00,560.00,580.00,340.00,600.00,540.00,600.00,180.00,600.00,2440.00,560.00,2040.00,580.00,600.00,600.00
9,0.59,0.72,1.45,0.29,2.44,0.60,1.45,0.29,1.70,19,21.0,2520.00,693.00,2457.00,609.00,630.00,294.00,420.00,546.00,483.00,609.00,630.00,2730.00,630.00,630.00,630.00,2394.00,630.00,2394.00,630.00
10,0.60,0.72,1.45,3.07,1.20,0.60,1.10,0.29,1.20,18,22.0,660.00,660.00,638.00,88.00,660.00,2178.00,374.00,2112.00,638.00,638.00,638.00,594.00,660.00,660.00,2618.00,660.00,572.00,660.00
11,0.62,0.72,1.45,3.07,1.20,0.60,1.10,0.29,1.20,18,22.0,528.00,110.00,572.00,2816.00,660.00,660.00,2398.00,2178.00,660.00,550.00,594.00,660.00,4884.00,660.00,2420.00,638.00,660.00,396.00
12,0.63,2.87,5.80,2.45,1.62,2.42,1.92,1.18,1.62,19,21.0,630.00,3108.00,63.00,168.00,630.00,2478.00,2604.00,630.00,546.00,63.00,630.00,2352.00,630.00,609.00,588.00,21.00,630.00,2646.00,630.00
13,0.64,0.51,0.39,2.45,1.62,0.51,1.92,0.36,1.62,18,22.0,660.00,660.00,616.00,2068.00,66.00,660.00,154.00,704.00,110.00,660.00,660.00,22.00,2486.00,660.00,660.00,682.00,330.00,462.00
14,0.66,0.51,0.39,2.45,1.62,0.51,1.92,0.36,1.62,18,22.0,154.00,154.00,660.00,418.00,660.00,352.00,660.00,660.00,660.00,660.00,374.00,660.00,660.00,2574.00,660.00,638.00,660.00,660.00
15,0.66,0.51,0.39,0.69,0.62,0.51,0.68,0.36,0.62,17,23.0,690.00,690.00,598.00,690.00,2599.00,690.00,690.00,690.00,690.00,690.00,690.00,2921.00,690.00,2254.00,690.00,667.00,644.00
16,0.66,0.51,0.39,0.69,0.62,0.51,0.68,0.36,0.62,17,23.0,690.00,2208.00,690.00,46.00,690.00,690.00,690.00,690.00,69.00,115.00,690.00,2070.00,690.00,690.00,690.00,690.00,506.00
17,0.68,0.51,0.39,0.69,0.62,0.51,0.68,0.36,0.62,17,23.0,46.00,2737.00,667.00,2852.00,690.00,1794.00,115.00,690.00,690.00,690.00,506.00,46.00,276.00,299.00,690.00,460.00,391.00
18,0.68,2.03,1.56,5.04,5.82,2.03,5.12,1.44,5.82,16,24.0,720.00,720.00,2376.00,720.00,2832.00,720.00,168.00,1584.00,2976.00,2736.00,720.00,648.00,264.00,504.00,24.00,720.00
19,0.69,2.03,1.56,5.04,5.82,2.03,5.12,1.44,5.82,16,24.0,600.00,2232.00,192.00,96.00,2640.00,720.00,720.00,720.00,312.00,720.00,720.00,72.00,696.00,240.00,576.00,360.00
20,0.70,2.03,1.56,5.04,5.82,2.03,5.12,1.44,5.82,16,24.0,720.00,720.00,696.00,720.00,720.00,720.00,2952.00,696.00,768.00,720.00,360.00,24.00,48.00,1944.00,720.00,720.00
21,0.71,2.03,1.56,0.53,0.51,2.03,0.63,1.44,0.51,17,23.0,1127.00,667.00,690.00,299.00,667.00,690.00,690.00,575.00,299.00,690.00,667.00,690.00,391.00,690.00,644.00,207.00,92.00
22,0.71,2.76,2.19,0.53,0.51,2.76,0.63,2.85,0.51,18,22.0,2420.00,660.00,660.00,638.00,660.00,2684.00,638.00,660.00,2090.00,660.00,660.00,660.00,660.00,660.00,638.00,132.00,660.00,660.00
23,0.72,2.76,2.19,0.53,0.51,2.76,0.63,2.85,0.51,18,22.0,660.00,506.00,572.00,638.00,638.00,2178.00,264.00,660.00,660.00,660.00,1694.00,748.00,990.00,2816.00,616.00,2574.00,22.00,660.00
24,0.71,0.67,0.55,2.13,2.03,0.67,2.52,0.85,2.03,17,23.0,23.00,575.00,138.00,2323.00,598.00,759.00,667.00,299.00,736.00,690.00,460.00,552.00,690.00,690.00,2438.00,690.00,690.00
25,0.74,0.67,0.55,2.13,2.03,0.67,2.52,0.85,2.03,17,23.0,690.00,2300.00,414.00,2944.00,690.00,644.00,667.00,690.00,2875.00,690.00,667.00,207.00,690.00,690.00,690.00,690.00,690.00
26,0.72,0.67,0.55,0.44,0.56,0.67,0.49,0.85,0.56,16,22.0,638.00,2420.00,2596.00,660.00,418.00,220.00,616.00,550.00,154.00,4026.00,660.00,396.00,132.00,660.00,154.00,2662.00
27,0.74,0.67,0.55,0.44,0.56,0.67,0.49,0.85,0.56,16,22.0,462.00,572.00,22.00,506.00,616.00,616.00,638.00,154.00,660.00,616.00,176.00,2684.00,660.00,660.00,2046.00,2310.00
28,0.72,0.67,0.55,0.44,0.56,0.67,0.49,0.85,0.56,16,22.0,594.00,2772.00,2596.00,638.00,374.00,110.00,286.00,660.00,660.00,660.00,660.00,242.00,616.00,110.00,660.00,2420.00
29,0.75,0.67,0.55,0.44,0.56,0.67,0.49,0.85,0.56,16,22.0,418.00,2618.00,660.00,638.00,132.00,660.00,198.00,1694.00,660.00,528.00,660.00,660.00,660.00,352.00,660.00,660.00
30,0.75,2.68,2.20,4.76,6.27,9.53,1.96,4.76,2.23,15,21.0,630.00,420.00,21.00,21.00,630.00,2100.00,42.00,420.00,630.00,273.00,630.00,609.00,2478.00,630.00,609.00
31,0.76,2.68,2.20,4.76,6.27,9.53,1.96,4.76,2.23,15,21.0,609.00,609.00,630.00,630.00,630.00,2457.00,630.00,630.00,2205.00,609.00,42.00,903.00,21.00,2541.00,630.00
32,0.76,2.68,2.20,4.76,6.27,9.53,1.96,4.76,2.23,15,21.0,630.00,1407.00,504.00,630.00,630.00,21.00,630.00,630.00,126.00,2646.00,630.00,2394.00,378.00,462.00,609.00
33,0.75,2.68,2.20,0.69,0.62,0.65,1.96,0.69,2.23,16,22.0,660.00,1166.00,22.00,726.00,1870.00,2772.00,660.00,660.00,616.00,440.00,2772.00,3168.00,638.00,440.00,44.00,308.00
34,0.75,2.68,2.20,0.69,0.62,0.65,1.96,0.69,2.23,16,22.0,154.00,726.00,770.00,88.00,110.00,462.00,638.00,308.00,660.00,946.00,660.00,528.00,2398.00,22.00,638.00,2112.00
35,0.77,2.68,2.20,0.69,0.62,0.65,1.96,0.69,2.23,16,22.0,22.00,22.00,660.00,88.00,660.00,616.00,638.00,286.00,286.00,2794.00,286.00,616.00,660.00,484.00,660.00,220.00
36,0.76,2.68,2.20,0.69,0.62,0.65,1.96,0.69,2.23,16,22.0,660.00,660.00,44.00,594.00,660.00,660.00,22.00,396.00,264.00,352.00,660.00,330.00,660.00,286.00,660.00,660.00
