1,0.46,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,4840.00,2840.00,3160.00,4940.00,3020.00,6760.00,6000.00,2240.00,2920.00,5740.00,6100.00,5460.00,3060.00,5680.00,2540.00,2620.00,3940.00,3200.00,2720.00,2920.00
2,0.57,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2660.00,2480.00,3000.00,2940.00,5400.00,5460.00,3120.00,3020.00,2860.00,2040.00,6220.00,5380.00,2980.00,5240.00,3040.00,3820.00,3020.00,2760.00,2780.00,3180.00
3,0.61,10000000000.00,10000000000.00,2.69,3.17,2.84,10000000000.00,2.69,10000000000.00,21,21.0,7161.00,2919.00,6321.00,4326.00,5208.00,7602.00,3381.00,3108.00,2982.00,2793.00,2751.00,3066.00,5313.00,1974.00,6006.00,3045.00,6636.00,3129.00,4158.00,3192.00,3255.00
4,0.62,4.33,3.21,26.92,31.73,28.40,3.21,26.92,3.43,22,22.0,3146.00,3190.00,5742.00,3058.00,2772.00,3212.00,2332.00,7084.00,3146.00,7502.00,6710.00,3212.00,2530.00,7788.00,5874.00,5038.00,3388.00,3454.00,902.00,2772.00,6402.00,3256.00
5,0.66,2.88,2.98,269.23,317.32,283.98,2.98,269.23,3.13,23,23.0,3036.00,3381.00,3473.00,3542.00,3105.00,7705.00,3381.00,2921.00,3036.00,6854.00,6555.00,3588.00,3657.00,3427.00,6279.00,3128.00,6417.00,1909.00,3013.00,4554.00,6877.00,3565.00,7475.00
6,0.67,1.08,1.09,269.23,317.32,283.98,1.09,269.23,1.05,24,24.0,3888.00,3816.00,3648.00,3360.00,3576.00,3672.00,3720.00,3432.00,3552.00,7392.00,3288.00,3792.00,8352.00,7680.00,6840.00,3480.00,6120.00,3144.00,4416.00,3552.00,7272.00,3144.00,4896.00,8640.00
7,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,3900.00,7350.00,8450.00,3775.00,6025.00,3475.00,8625.00,3400.00,5250.00,4150.00,3750.00,7225.00,3400.00,6275.00,3825.00,3525.00,3875.00,3375.00,8550.00,5275.00,7550.00,6650.00,3600.00,3875.00,2550.00
8,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,8500.00,3775.00,3800.00,6025.00,3575.00,7175.00,3800.00,3500.00,3025.00,3700.00,3625.00,3850.00,3725.00,3450.00,5050.00,3850.00,3250.00,2925.00,4625.00,3700.00,2450.00,1025.00,3450.00,3425.00,9075.00
9,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,3000.00,2750.00,3275.00,8600.00,3475.00,3925.00,7600.00,6850.00,3825.00,8650.00,6650.00,3625.00,8600.00,3625.00,7125.00,8875.00,4950.00,3500.00,3025.00,5675.00,3775.00,3500.00,7925.00,3875.00,3575.00
10,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,3800.00,3850.00,4025.00,6225.00,3650.00,6675.00,7175.00,3500.00,5450.00,8025.00,5650.00,7300.00,3300.00,5550.00,3700.00,2925.00,3775.00,7900.00,8600.00,5675.00,6400.00,2675.00,3825.00,3425.00,6825.00
11,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,7700.00,6600.00,7400.00,8100.00,6525.00,6350.00,2900.00,3550.00,3525.00,2875.00,5450.00,3700.00,8025.00,4025.00,6775.00,3675.00,2250.00,3700.00,7475.00,3450.00,5250.00,3700.00,3500.00,3750.00,6900.00
12,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,6425.00,7250.00,3875.00,8675.00,3650.00,7575.00,3375.00,5975.00,3600.00,3200.00,3350.00,3350.00,3950.00,4950.00,6950.00,2550.00,3150.00,1150.00,3325.00,3625.00,3800.00,3900.00,3425.00,5475.00,7125.00
13,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,3075.00,3850.00,6475.00,2950.00,3725.00,3250.00,3550.00,3650.00,6300.00,7575.00,3650.00,4450.00,3700.00,3925.00,3875.00,6650.00,3825.00,7125.00,3825.00,7325.00,7350.00,8125.00,3525.00,3700.00,900.00
14,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,6625.00,3225.00,3500.00,3700.00,3875.00,1350.00,6650.00,3875.00,6775.00,3375.00,3525.00,3675.00,5575.00,3500.00,3875.00,1900.00,3325.00,3875.00,6850.00,3350.00,3675.00,3300.00,6125.00,3725.00,2025.00
15,0.05,0.78,0.67,2692.28,3173.21,2839.84,0.67,2692.28,0.76,25,25.0,2575.00,3650.00,3200.00,3775.00,3525.00,5475.00,7575.00,4175.00,3575.00,3900.00,5125.00,3525.00,3725.00,3450.00,2900.00,8250.00,5400.00,3875.00,3550.00,3525.00,4550.00,6325.00,5250.00,3425.00,5150.00
