1,0.13,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,3120.00,4760.00,2880.00,3160.00,3040.00,1120.00,6280.00,6280.00,4380.00,5180.00,6460.00,2940.00,5560.00,6060.00,2960.00,2200.00,2660.00,2820.00,7420.00,2460.00
2,0.55,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,3120.00,2420.00,7080.00,5600.00,4780.00,2620.00,2280.00,2620.00,3100.00,6040.00,5020.00,5080.00,2880.00,2620.00,3240.00,4980.00,1880.00,2880.00,2140.00,5360.00
3,0.61,1000000000.00,1000000000.00,0.72,0.69,0.71,1000000000.00,0.72,1000000000.00,21,21.0,6090.00,3255.00,3318.00,6657.00,3087.00,5040.00,3528.00,2961.00,6783.00,3255.00,3192.00,5775.00,6468.00,2436.00,2961.00,2457.00,3108.00,3129.00,2982.00,3066.00,3087.00
4,0.63,2.39,2.69,7.16,6.94,7.08,2.69,7.16,2.85,22,20.0,5700.00,2700.00,7000.00,3100.00,2900.00,2840.00,2900.00,2660.00,6360.00,4840.00,6520.00,6760.00,2980.00,3200.00,6340.00,2700.00,1620.00,5060.00,3080.00,1840.00,3060.00,2800.00
5,0.57,2.47,2.34,71.62,69.37,2.47,26.90,2.49,28.46,23,21.0,3108.00,4515.00,3213.00,5985.00,2940.00,3381.00,7371.00,2499.00,2856.00,2982.00,6951.00,3087.00,3213.00,6153.00,6405.00,6930.00,6195.00,5838.00,7308.00,5271.00,5586.00,6657.00,2961.00
6,0.61,2.47,2.34,71.62,69.37,2.47,26.90,2.49,28.46,23,21.0,2646.00,4767.00,6930.00,7476.00,6552.00,3150.00,6867.00,2919.00,6720.00,5607.00,3150.00,3066.00,2814.00,2982.00,6951.00,3381.00,6363.00,4242.00,2478.00,2688.00,2289.00,2877.00,4011.00
7,0.66,2.47,2.34,71.62,69.37,2.47,26.90,2.49,28.46,23,21.0,7077.00,5586.00,3108.00,4620.00,3612.00,6216.00,2919.00,3192.00,483.00,2982.00,5775.00,3423.00,3255.00,3213.00,4536.00,3003.00,5082.00,4641.00,2856.00,3213.00,5796.00,2583.00,2331.00
8,0.67,2.32,2.19,716.20,693.72,24.74,2.19,24.94,2.31,24,20.0,3080.00,2960.00,3000.00,2180.00,2880.00,4880.00,2960.00,2940.00,2640.00,3860.00,2840.00,3020.00,4300.00,2840.00,3180.00,6860.00,3040.00,3720.00,2740.00,4860.00,5180.00,3220.00,5320.00,5180.00
9,0.68,0.79,0.76,716.20,693.72,0.79,2.19,0.80,2.31,25,21.0,5376.00,6615.00,3234.00,4011.00,7518.00,3024.00,2898.00,2730.00,3360.00,2667.00,3339.00,5313.00,3108.00,3192.00,7434.00,3234.00,1134.00,3255.00,1995.00,3150.00,3150.00,5649.00,5502.00,5649.00,8001.00
10,0.67,0.39,0.21,7161.99,6937.17,7.89,0.21,8.00,0.30,26,20.0,6700.00,6660.00,2960.00,1860.00,2520.00,2800.00,2920.00,2740.00,9880.00,2980.00,5980.00,2620.00,5920.00,2620.00,2840.00,7260.00,3080.00,2600.00,3160.00,7160.00,3060.00,2700.00,6120.00,5500.00,6480.00,2820.00
11,0.70,0.39,0.21,7161.99,6937.17,7.89,0.21,8.00,0.30,26,20.0,5820.00,2680.00,2820.00,2800.00,2980.00,3360.00,3060.00,6460.00,3720.00,3020.00,2940.00,3780.00,2920.00,5540.00,5140.00,2860.00,2940.00,3820.00,5500.00,2780.00,2580.00,2740.00,3020.00,2440.00,2600.00,2420.00
12,0.69,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,2163.00,2541.00,2982.00,2373.00,3150.00,3213.00,7308.00,3108.00,2730.00,3864.00,8505.00,2625.00,5439.00,6531.00,6615.00,3045.00,3360.00,3171.00,7602.00,3066.00,3066.00,2667.00,5565.00,3675.00,1470.00,4158.00,2898.00
13,0.68,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,3318.00,2961.00,2730.00,6279.00,2961.00,2919.00,7245.00,3129.00,2919.00,3255.00,6384.00,3045.00,3129.00,6699.00,3129.00,3150.00,5901.00,2961.00,3024.00,6741.00,4998.00,6216.00,3087.00,3213.00,2121.00,7014.00,3087.00
14,0.71,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,7287.00,2877.00,2646.00,3024.00,2562.00,2037.00,5649.00,5985.00,3129.00,3213.00,3066.00,3171.00,3129.00,2247.00,7014.00,6006.00,4683.00,5775.00,6573.00,5796.00,6174.00,3402.00,3066.00,2961.00,5145.00,5460.00,3255.00
15,0.69,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,3150.00,6951.00,6783.00,3318.00,2835.00,5922.00,2583.00,4032.00,3318.00,6804.00,2499.00,3066.00,3885.00,6426.00,7623.00,2079.00,7371.00,5334.00,2919.00,6006.00,3108.00,6279.00,4452.00,1827.00,2814.00,6153.00,2562.00
16,0.71,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,4851.00,7308.00,5691.00,6090.00,3171.00,3276.00,2772.00,3696.00,2709.00,3822.00,5670.00,5439.00,2646.00,6741.00,4326.00,3381.00,2142.00,3276.00,6510.00,2814.00,5838.00,4977.00,3192.00,5187.00,2940.00,4221.00,2856.00
17,0.67,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,6006.00,6426.00,3234.00,6237.00,3024.00,2772.00,2373.00,3171.00,7434.00,7455.00,3108.00,6741.00,3528.00,4452.00,4557.00,2415.00,5397.00,8001.00,3087.00,3003.00,3003.00,4368.00,2625.00,2688.00,2604.00,5271.00,5649.00
18,0.70,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,2667.00,8001.00,3318.00,2919.00,6951.00,2877.00,5040.00,2793.00,1995.00,6846.00,3213.00,3045.00,5292.00,3318.00,6657.00,2919.00,5460.00,3087.00,6741.00,6867.00,6342.00,4767.00,7350.00,2730.00,5103.00,6111.00,2961.00
19,0.71,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,3213.00,6951.00,2814.00,2394.00,2835.00,2919.00,7329.00,2730.00,3003.00,2121.00,7308.00,2730.00,2961.00,2730.00,6132.00,6699.00,3150.00,2877.00,7602.00,6804.00,7119.00,2814.00,3150.00,2646.00,3171.00,2121.00,3150.00
20,0.73,1.00,1.66,71619.91,69371.69,1.00,2.10,0.72,2.98,27,21.0,2709.00,4452.00,6069.00,2583.00,2919.00,2163.00,3024.00,3213.00,3276.00,4137.00,3003.00,1827.00,5418.00,3087.00,3255.00,3318.00,3045.00,3108.00,2415.00,2562.00,5607.00,2961.00,3024.00,5376.00,6384.00,6972.00,5880.00
