round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,32412647800.0,79715.0,247832091640.0,1594300.0
2.0,0.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,58841422160.0,79715.0,321134541280.0,1594300.0
3.0,0.27,1000000000.0,1000000000.0,0.22,0.06,0.71,1000000000.0,0.22,1000000000.0,21.0,21.0,25394062911.0,79715.0,164930511690.0,1674015.0
4.0,0.33,1.0,5.65,0.22,0.06,0.71,5.65,0.22,6.72,22.0,22.0,33185564786.0,79715.0,259725040102.0,1753730.0
5.0,0.4,1.21,1.57,1.31,0.36,4.24,1.57,1.31,1.61,21.0,21.0,32200718949.0,79715.0,223310676939.0,1674015.0
6.0,0.45,1.21,1.57,0.68,0.93,0.64,1.57,0.68,1.61,20.0,22.0,32911303920.0,79715.0,224619649254.0,1594300.0
7.0,0.49,1.21,1.57,0.56,0.6,0.64,0.87,0.68,0.6,21.0,21.0,30629952171.0,79715.0,188230218897.0,1674015.0
8.0,0.53,1.7,2.25,0.56,0.6,1.7,0.87,1.2,0.6,22.0,20.0,40141817660.0,79715.0,219907348920.0,1753730.0
9.0,0.55,0.56,0.3,0.56,0.6,0.56,0.87,0.19,0.6,23.0,19.0,29370845468.0,79715.0,194700282054.0,1833445.0
10.0,0.58,1.07,4.9,0.56,0.6,1.07,0.87,9.4,0.6,22.0,18.0,31864126068.0,79715.0,252669056004.0,1753730.0
11.0,0.59,1.07,4.9,0.42,0.44,0.48,0.87,0.42,0.6,21.0,19.0,34108078608.0,79715.0,162250235045.0,1674015.0
12.0,0.6,1.07,4.9,0.42,0.44,0.48,0.87,0.42,0.6,21.0,19.0,74848283612.0,79715.0,327579671631.0,1674015.0
13.0,0.63,6.42,29.39,22.64,11.05,2.87,15.69,2.49,11.05,20.0,20.0,32661975860.0,79715.0,192231934260.0,1594300.0
14.0,0.63,6.42,29.39,1.13,1.08,2.87,1.04,2.49,1.08,21.0,19.0,29133983811.0,79715.0,251073356420.0,1674015.0
15.0,0.65,6.42,29.39,1.13,1.08,2.87,1.04,2.49,1.08,21.0,19.0,28897122154.0,79715.0,138327207688.0,1674015.0
16.0,0.65,0.34,0.77,6.79,6.47,0.34,6.25,0.57,6.47,20.0,20.0,55350829320.0,79715.0,267778336440.0,1594300.0
17.0,0.66,0.34,0.77,6.79,6.47,0.34,6.25,0.57,6.47,20.0,20.0,30168695260.0,79715.0,211430194880.0,1594300.0
18.0,0.67,2.04,4.62,1.34,0.7,2.04,0.82,3.44,0.7,21.0,19.0,26054782270.0,79715.0,243730645053.0,1674015.0
19.0,0.68,2.04,4.62,1.34,0.7,2.04,0.82,3.44,0.7,21.0,19.0,29844568782.0,79715.0,239467135227.0,1674015.0
20.0,0.69,0.71,0.23,1.34,0.7,0.71,0.82,0.16,0.7,22.0,18.0,27600616242.0,79715.0,153935144244.0,1753730.0
21.0,0.7,0.71,0.23,1.34,0.7,0.71,0.82,0.16,0.7,22.0,18.0,25805454210.0,79715.0,158423049324.0,1753730.0
22.0,0.7,0.53,3.58,1.34,0.7,0.53,0.82,6.94,0.7,21.0,17.0,26491106375.0,79715.0,116984725752.0,1674015.0
23.0,0.71,0.53,3.58,1.34,0.7,0.53,0.82,6.94,0.7,21.0,17.0,25431462120.0,79715.0,166999934588.0,1674015.0
24.0,0.7,0.53,3.58,1.34,0.7,0.53,0.82,6.94,0.7,21.0,17.0,25219533269.0,79715.0,215107783765.0,1674015.0
25.0,0.72,0.53,3.58,1.34,0.7,0.53,0.82,6.94,0.7,21.0,17.0,24583746716.0,79715.0,127581168302.0,1674015.0
26.0,0.72,3.16,21.47,1.1,3.16,2.36,4.94,1.1,4.2,20.0,18.0,28722592512.0,79715.0,150793610688.0,1594300.0
27.0,0.73,3.16,21.47,1.1,3.16,2.36,4.94,1.1,4.2,20.0,18.0,56098813500.0,79715.0,207565609950.0,1594300.0
28.0,0.72,3.16,21.47,0.37,0.62,2.36,0.54,1.1,0.62,19.0,17.0,27126892928.0,79715.0,175265159777.0,1514585.0
