round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31913991680.0,79715.0,146604899280.0,1594300.0
2.0,0.23,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31166007500.0,79715.0,252818652840.0,1594300.0
3.0,0.34,1000000000.0,1000000000.0,0.11,0.36,0.37,1000000000.0,0.11,1000000000.0,21.0,21.0,32200718949.0,79715.0,217551198753.0,1674015.0
4.0,0.43,0.48,0.44,0.11,0.36,0.37,0.44,0.11,0.55,22.0,22.0,34282608250.0,79715.0,263290431360.0,1753730.0
5.0,0.46,2.04,1.86,0.11,0.36,0.37,1.86,0.11,1.83,23.0,23.0,35840908625.0,79715.0,285006905386.0,1833445.0
6.0,0.47,4.66,5.04,1.11,3.56,3.71,5.04,1.11,4.83,22.0,22.0,32088521322.0,79715.0,219682953666.0,1753730.0
7.0,0.53,4.66,5.04,1.11,3.56,3.71,5.04,1.11,4.83,22.0,22.0,35105390848.0,79715.0,213374953748.0,1753730.0
8.0,0.54,4.66,5.04,0.35,0.02,0.05,5.04,0.35,4.83,23.0,21.0,31415335560.0,79715.0,266506763334.0,1833445.0
9.0,0.58,60.18,56.67,3.52,0.15,60.18,50.38,9.85,48.32,24.0,20.0,31415335560.0,79715.0,220904661160.0,1913160.0
10.0,0.61,1.03,0.99,3.52,0.15,1.03,50.38,0.99,48.32,23.0,21.0,33247896801.0,79715.0,191633546916.0,1833445.0
11.0,0.63,1.03,0.99,0.03,0.02,1.03,0.04,0.99,0.02,24.0,20.0,31913991680.0,79715.0,236612328940.0,1913160.0
12.0,0.64,7.81,14.95,0.27,0.15,7.81,0.37,19.76,0.15,25.0,19.0,59215414250.0,79715.0,309815047356.0,1992875.0
13.0,0.64,2.89,0.58,2.74,1.53,2.89,3.74,1.15,1.53,26.0,18.0,28049406750.0,79715.0,287450320374.0,2072590.0
14.0,0.66,2.89,0.58,2.74,1.53,2.89,3.74,1.15,1.53,26.0,18.0,25805454210.0,79715.0,270845071578.0,2072590.0
15.0,0.67,0.87,0.41,2.74,1.53,0.87,3.74,0.04,1.53,27.0,17.0,26491106375.0,79715.0,242022747842.0,2152305.0
16.0,0.69,0.2,2.28,2.74,1.53,0.2,3.74,17.95,1.53,26.0,16.0,36900552880.0,79715.0,225990953584.0,2072590.0
17.0,0.68,0.2,2.28,0.18,0.59,2.37,3.74,0.18,1.53,27.0,15.0,27675414660.0,79715.0,192605926350.0,2152305.0
18.0,0.7,0.2,2.28,0.18,0.59,2.37,3.74,0.18,1.53,27.0,15.0,22813517490.0,79715.0,197841815610.0,2152305.0
19.0,0.7,0.83,6.87,0.18,0.59,0.83,3.74,9.05,1.53,26.0,14.0,20419968114.0,79715.0,167722985962.0,2072590.0
20.0,0.71,0.83,6.87,0.18,0.59,0.83,3.74,9.05,1.53,26.0,14.0,22165264534.0,79715.0,165628630258.0,2072590.0
21.0,0.72,0.83,6.87,0.72,0.39,1.23,3.74,0.72,1.53,25.0,13.0,20906157831.0,79715.0,166601009692.0,1992875.0
22.0,0.72,0.83,6.87,0.72,0.39,1.23,3.74,0.72,1.53,25.0,13.0,18637272485.0,79715.0,158335784503.0,1992875.0
