round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,45377706920.0,79715.0,251821340600.0,1594300.0
2.0,0.22,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30916679440.0,79715.0,244341498800.0,1594300.0
3.0,0.31,1000000000.0,1000000000.0,0.17,0.15,0.42,1000000000.0,0.17,1000000000.0,21.0,21.0,32724307875.0,79715.0,231164510829.0,1674015.0
4.0,0.36,0.5,1.67,0.17,0.15,0.42,1.67,0.17,2.05,22.0,22.0,33459825652.0,79715.0,202678779974.0,1753730.0
5.0,0.41,4.2,4.8,0.17,0.15,0.42,4.8,0.17,4.49,23.0,23.0,35267454087.0,79715.0,343212540993.0,1833445.0
6.0,0.49,0.28,0.37,0.17,0.15,0.42,0.37,0.17,0.29,24.0,24.0,38296790016.0,79715.0,322829972088.0,1913160.0
7.0,0.52,0.97,0.99,0.17,0.15,0.42,0.99,0.17,1.1,25.0,25.0,57033793725.0,79715.0,369005528800.0,1992875.0
8.0,0.55,11.66,4.13,0.17,0.15,0.42,4.13,0.17,5.39,26.0,26.0,40515809750.0,79715.0,367235299574.0,2072590.0
9.0,0.6,0.48,0.13,0.17,0.15,0.42,0.13,0.17,0.06,27.0,27.0,42747295887.0,79715.0,459785875446.0,2152305.0
10.0,0.61,0.32,2.78,0.17,0.15,0.42,2.78,0.17,5.23,28.0,28.0,42934291932.0,79715.0,400021939464.0,2232020.0
11.0,0.63,9.24,6.9,0.17,0.15,0.42,6.9,0.17,8.85,29.0,29.0,41936979692.0,79715.0,296089537653.0,2311735.0
12.0,0.64,0.19,0.23,0.17,0.15,0.42,0.23,0.17,0.29,30.0,30.0,48618971700.0,79715.0,482823788190.0,2391450.0
13.0,0.65,0.63,1.52,0.17,0.15,0.42,1.52,0.17,1.06,31.0,31.0,48307311625.0,79715.0,492734578575.0,2471165.0
14.0,0.66,0.63,1.52,0.17,0.15,0.42,1.52,0.17,1.06,31.0,31.0,46761477653.0,79715.0,400370998748.0,2471165.0
15.0,0.67,21.54,6.77,0.17,0.15,0.42,6.77,0.17,8.58,32.0,32.0,53057011168.0,79715.0,460758254880.0,2550880.0
16.0,0.69,1.0,1.05,0.17,0.15,0.42,1.05,0.17,1.01,33.0,33.0,49778347179.0,79715.0,529871993112.0,2630595.0
17.0,0.69,0.03,0.06,0.17,0.15,0.42,0.06,0.17,0.09,32.0,34.0,54253785856.0,79715.0,650621572570.0,2550880.0
18.0,0.7,0.03,0.06,0.17,0.15,0.42,0.06,0.17,0.09,32.0,34.0,46624347220.0,79715.0,403088674602.0,2550880.0
19.0,0.7,0.03,0.06,6.86,10.87,0.42,14.24,0.17,10.87,31.0,35.0,52795216705.0,79715.0,551949992825.0,2471165.0
20.0,0.71,0.03,0.06,6.86,10.87,0.42,14.24,0.17,10.87,31.0,35.0,51486244390.0,79715.0,513117147480.0,2471165.0
21.0,0.71,0.03,0.06,6.86,10.87,0.42,14.24,0.17,10.87,31.0,35.0,53667864915.0,79715.0,446359559415.0,2471165.0
22.0,0.72,0.03,0.06,6.86,10.87,0.42,14.24,0.17,10.87,31.0,35.0,53231540810.0,79715.0,479956515500.0,2471165.0
23.0,0.73,0.03,0.06,0.28,0.33,0.42,0.39,0.17,0.33,30.0,36.0,83026243980.0,79715.0,499055044896.0,2391450.0
24.0,0.73,0.03,0.06,0.28,0.33,0.42,0.39,0.17,0.33,30.0,36.0,81679872456.0,79715.0,607662347832.0,2391450.0
25.0,0.74,0.03,0.06,0.28,0.33,0.42,0.39,0.17,0.33,30.0,36.0,52508489436.0,79715.0,502645368960.0,2391450.0
26.0,0.74,0.03,0.06,0.97,0.15,0.42,0.31,0.17,0.15,29.0,37.0,45664434189.0,79715.0,475555875241.0,2311735.0
27.0,0.74,0.03,0.06,0.97,0.15,0.42,0.31,0.17,0.15,29.0,37.0,66420995184.0,79715.0,735704773045.0,2311735.0
28.0,0.75,0.03,0.06,0.97,0.15,0.42,0.31,0.17,0.15,29.0,37.0,58579627697.0,79715.0,507843859011.0,2311735.0
29.0,0.75,0.03,0.06,1.94,4.97,0.42,2.87,0.17,4.97,28.0,38.0,59215414250.0,79715.0,500251819584.0,2232020.0
30.0,0.75,0.03,0.06,1.94,4.97,0.42,2.87,0.17,4.97,28.0,38.0,57320520994.0,79715.0,437246618822.0,2232020.0
31.0,0.75,0.03,0.06,1.94,4.97,0.42,2.87,0.17,4.97,28.0,38.0,68216157216.0,79715.0,541465747902.0,2232020.0
32.0,0.76,0.03,0.06,1.94,4.97,0.42,2.87,0.17,4.97,28.0,38.0,47372331400.0,79715.0,355292485500.0,2232020.0
33.0,0.76,0.03,0.06,0.06,1.76,0.42,1.69,0.17,1.76,27.0,39.0,87514149060.0,79715.0,587317178136.0,2152305.0
34.0,0.77,0.03,0.06,0.06,1.76,0.42,1.69,0.17,1.76,27.0,39.0,57856576323.0,79715.0,486675906717.0,2152305.0
35.0,0.77,0.03,0.06,0.06,1.76,0.42,1.69,0.17,1.76,27.0,39.0,59315145474.0,79715.0,468686887188.0,2152305.0
36.0,0.77,0.03,0.06,0.06,1.76,0.42,1.69,0.17,1.76,27.0,39.0,57370386606.0,79715.0,401592706242.0,2152305.0
37.0,0.78,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,64825295600.0,79715.0,518602364800.0,2072590.0
38.0,0.78,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,63827983360.0,79715.0,579937067560.0,2072590.0
39.0,0.78,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,62830671120.0,79715.0,512119835240.0,2072590.0
40.0,0.78,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,92251382200.0,79715.0,621824181640.0,2072590.0
41.0,0.77,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,56348141560.0,79715.0,460259598760.0,2072590.0
42.0,0.78,0.03,0.06,31.42,1.68,0.42,1.68,0.17,1.68,26.0,40.0,71806481280.0,79715.0,474221970120.0,2072590.0
43.0,0.78,0.03,0.06,1.81,1.61,0.42,1.64,0.17,1.61,25.0,41.0,64401437898.0,79715.0,477899559005.0,1992875.0
44.0,0.78,0.03,0.06,1.81,1.61,0.42,1.64,0.17,1.61,25.0,41.0,66445927990.0,79715.0,557634672593.0,1992875.0
45.0,0.79,0.03,0.06,1.81,1.61,0.42,1.64,0.17,1.61,25.0,41.0,64912560421.0,79715.0,531056301397.0,1992875.0
46.0,0.79,0.03,0.06,1.81,1.61,0.42,1.64,0.17,1.61,25.0,41.0,56223477530.0,79715.0,465121495930.0,1992875.0
47.0,0.79,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,74349627492.0,79715.0,671241003132.0,1913160.0
48.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,64925026824.0,79715.0,484843345476.0,1913160.0
49.0,0.79,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,64925026824.0,79715.0,535107882372.0,1913160.0
50.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,61783493268.0,79715.0,649250268240.0,1913160.0
51.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,95816773458.0,79715.0,701085571914.0,1913160.0
52.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,63877848972.0,79715.0,491650001514.0,1913160.0
53.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,57594781860.0,79715.0,350280991494.0,1913160.0
54.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,63354260046.0,79715.0,396880405908.0,1913160.0
55.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,65448615750.0,79715.0,556575028338.0,1913160.0
56.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,165454100616.0,79715.0,614169810198.0,1913160.0
57.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,64401437898.0,79715.0,497933068626.0,1913160.0
58.0,0.8,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,56024015082.0,79715.0,359705592162.0,1913160.0
59.0,0.81,0.03,0.06,0.87,1.16,0.42,0.95,0.17,1.16,24.0,42.0,61783493268.0,79715.0,586943186046.0,1913160.0
60.0,0.81,0.03,0.06,2.46,2.07,0.42,2.59,0.17,2.07,23.0,43.0,63254528822.0,79715.0,407938105369.0,1833445.0
