round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.12,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31166007500.0,79715.0,179765531260.0,1594300.0
2.0,0.19,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,32412647800.0,79715.0,171288377220.0,1594300.0
3.0,0.31,1000000000.0,1000000000.0,0.49,0.57,0.63,1000000000.0,0.49,1000000000.0,21.0,21.0,47908386729.0,79715.0,238756550256.0,1674015.0
4.0,0.37,0.07,0.95,0.49,0.57,0.63,0.95,0.49,0.86,22.0,22.0,27426086600.0,79715.0,194999475726.0,1753730.0
5.0,0.43,1.19,1.55,0.49,0.57,0.63,1.55,0.49,1.99,23.0,23.0,33833817742.0,79715.0,268950178322.0,1833445.0
6.0,0.42,9.81,0.18,0.49,0.57,0.63,0.18,0.49,0.27,22.0,24.0,8975810160.0,79715.0,143014575216.0,1753730.0
7.0,0.48,9.81,0.18,0.49,0.57,0.63,0.18,0.49,0.27,22.0,24.0,38296790016.0,79715.0,335396106312.0,1753730.0
8.0,0.52,9.81,0.18,3.27,10.77,0.63,17.98,0.49,10.77,21.0,25.0,40515809750.0,79715.0,297012051475.0,1674015.0
9.0,0.56,9.81,0.18,0.5,0.78,0.63,0.7,0.49,0.78,20.0,26.0,39543430316.0,79715.0,257032297054.0,1594300.0
10.0,0.57,9.81,0.18,0.26,0.26,0.63,0.38,0.49,0.26,19.0,27.0,31976323695.0,79715.0,192867720813.0,1514585.0
11.0,0.58,9.81,0.18,14.7,10.81,0.63,9.44,0.49,10.81,18.0,28.0,43632410500.0,79715.0,214671459660.0,1434870.0
12.0,0.6,9.81,0.18,14.7,10.81,0.63,9.44,0.49,10.81,18.0,28.0,43981469784.0,79715.0,227935712452.0,1434870.0
13.0,0.62,9.81,0.18,0.25,0.44,0.63,0.37,0.49,0.44,17.0,29.0,48082916371.0,79715.0,294281909218.0,1355155.0
14.0,0.63,9.81,0.18,1.23,1.07,0.63,1.2,0.49,1.07,16.0,30.0,46001027070.0,79715.0,245338811040.0,1275440.0
15.0,0.65,9.81,0.18,1.23,1.07,0.63,1.2,0.49,1.07,16.0,30.0,53854860960.0,79715.0,349682604150.0,1275440.0
16.0,0.63,9.81,0.18,4.22,1.17,0.63,1.52,0.49,1.17,15.0,31.0,45215643681.0,79715.0,221440716489.0,1195725.0
17.0,0.66,9.81,0.18,4.22,1.17,0.63,1.52,0.49,1.17,15.0,31.0,49466687104.0,79715.0,389163702451.0,1195725.0
18.0,0.67,9.81,0.18,2.6,2.38,0.63,2.51,0.49,2.38,14.0,32.0,49466687104.0,79715.0,239753862496.0,1116010.0
19.0,0.68,9.81,0.18,2.6,2.38,0.63,2.51,0.49,2.38,14.0,32.0,50663461792.0,79715.0,278050652512.0,1116010.0
