round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.12,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31415335560.0,79715.0,247333435520.0,1594300.0
2.0,0.24,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31913991680.0,79715.0,297448375580.0,1594300.0
3.0,0.33,1000000000.0,1000000000.0,0.12,0.07,0.05,1000000000.0,0.12,1000000000.0,21.0,21.0,30629952171.0,79715.0,244777822905.0,1674015.0
4.0,0.4,7.72,6.72,0.12,0.07,0.05,6.72,0.12,7.77,22.0,22.0,30168695260.0,79715.0,198564866984.0,1753730.0
5.0,0.44,0.93,0.91,0.12,0.07,0.05,0.91,0.12,1.0,23.0,23.0,37274544970.0,79715.0,229955269738.0,1833445.0
6.0,0.48,3.36,1.74,0.12,0.07,0.05,1.74,0.12,1.74,24.0,24.0,37698402672.0,79715.0,267179949096.0,1913160.0
7.0,0.49,0.56,0.79,0.12,0.07,0.05,0.79,0.12,0.88,25.0,25.0,36152568700.0,79715.0,268027664500.0,1992875.0
8.0,0.51,11.15,12.45,0.37,0.2,0.15,12.45,0.37,11.11,26.0,26.0,46674212832.0,79715.0,359780390580.0,2072590.0
9.0,0.55,0.35,0.59,0.37,0.2,0.15,0.59,0.37,0.55,25.0,27.0,39381367077.0,79715.0,242683467201.0,1992875.0
10.0,0.57,0.35,0.59,2.36,0.73,0.15,0.63,0.37,0.73,24.0,26.0,40515809750.0,79715.0,344546446114.0,1913160.0
11.0,0.6,1.06,1.78,0.79,0.65,0.6,1.9,0.79,2.2,23.0,27.0,42074110125.0,79715.0,329861023380.0,1833445.0
12.0,0.62,1.06,1.78,0.46,0.73,0.6,0.6,0.79,0.73,22.0,26.0,38246924404.0,79715.0,280369403470.0,1753730.0
13.0,0.62,1.06,1.78,1.33,1.86,2.31,0.6,1.33,0.73,21.0,25.0,35529248550.0,79715.0,212863831225.0,1674015.0
