round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.06,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,26428774360.0,79715.0,139125057480.0,1594300.0
2.0,0.14,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31415335560.0,79715.0,169792408860.0,1594300.0
3.0,0.21,1000000000.0,1000000000.0,0.23,0.37,0.25,1000000000.0,0.23,1000000000.0,21.0,21.0,30368157708.0,79715.0,220430937846.0,1674015.0
4.0,0.27,1.04,0.67,0.23,0.37,0.25,0.67,0.23,0.79,20.0,22.0,33185564786.0,79715.0,174155649910.0,1594300.0
5.0,0.31,1.04,0.67,0.51,0.22,0.25,0.07,0.23,0.22,19.0,21.0,24085090596.0,79715.0,128802875796.0,1514585.0
6.0,0.34,1.04,0.67,0.49,6.5,1.87,0.07,0.49,0.22,18.0,22.0,27151825734.0,79715.0,136856172134.0,1434870.0
7.0,0.41,1.04,0.67,4.28,1.16,1.87,1.27,0.49,1.16,17.0,23.0,36414363163.0,79715.0,204149815528.0,1355155.0
8.0,0.43,1.04,0.67,1.14,2.29,1.87,1.93,0.49,2.29,16.0,24.0,28423398840.0,79715.0,131346022008.0,1275440.0
9.0,0.48,7.31,4.7,1.73,1.32,13.12,1.58,3.45,1.32,17.0,25.0,77915018750.0,79715.0,249328060000.0,1355155.0
10.0,0.49,0.59,0.72,1.73,1.32,13.12,0.72,3.45,0.69,16.0,26.0,36950418492.0,79715.0,155904835918.0,1275440.0
11.0,0.53,4.1,5.02,12.78,1.87,91.85,1.81,24.15,1.87,15.0,25.0,38957509375.0,79715.0,234368376400.0,1195725.0
12.0,0.55,4.1,5.02,1.01,1.04,2.36,1.81,1.01,1.87,16.0,26.0,35978039058.0,79715.0,225267902210.0,1275440.0
13.0,0.57,0.62,0.66,7.07,7.29,16.55,0.66,7.07,0.68,15.0,25.0,56722133650.0,79715.0,277065806675.0,1195725.0
14.0,0.59,0.62,0.66,0.01,0.42,0.58,0.66,0.01,0.68,16.0,26.0,31764394844.0,79715.0,150070559314.0,1275440.0
15.0,0.61,0.8,2.06,0.01,0.42,0.58,2.06,0.01,1.83,17.0,27.0,31303137933.0,79715.0,153822946617.0,1355155.0
16.0,0.61,1.59,1.05,0.01,0.42,0.58,1.05,0.01,0.82,18.0,28.0,33509691264.0,79715.0,170689989876.0,1434870.0
17.0,0.63,1.59,1.05,0.01,0.42,0.58,1.05,0.01,0.82,18.0,28.0,41188995512.0,79715.0,277502130780.0,1434870.0
18.0,0.64,3.68,2.9,0.04,2.95,4.08,2.9,0.04,3.87,17.0,29.0,42298505379.0,79715.0,198839127850.0,1355155.0
19.0,0.65,3.68,2.9,0.04,2.95,4.08,2.9,0.04,3.87,17.0,29.0,44106133814.0,79715.0,182931997622.0,1355155.0
20.0,0.66,3.68,2.9,0.23,0.12,4.08,0.04,0.04,0.12,18.0,30.0,45253042890.0,79715.0,287225925120.0,1434870.0
21.0,0.67,3.68,2.9,0.23,0.12,4.08,0.04,0.04,0.12,18.0,30.0,46375019160.0,79715.0,325747110390.0,1434870.0
22.0,0.68,3.12,13.0,0.23,0.12,4.08,13.0,0.04,4.4,19.0,31.0,85793785446.0,79715.0,312258462344.0,1514585.0
23.0,0.67,0.43,1.83,0.23,0.12,4.08,1.83,0.04,1.4,20.0,32.0,94146275456.0,79715.0,416078666528.0,1594300.0
24.0,0.7,0.43,1.83,0.23,0.12,4.08,1.83,0.04,1.4,20.0,32.0,49067762208.0,79715.0,300789371584.0,1594300.0
25.0,0.7,4.46,1.09,0.23,0.12,4.08,1.09,0.04,1.41,21.0,33.0,51012521076.0,79715.0,255062605380.0,1674015.0
26.0,0.71,4.46,1.09,0.23,0.12,4.08,1.09,0.04,1.41,21.0,33.0,45253042890.0,79715.0,231613301337.0,1674015.0
27.0,0.72,0.56,0.53,0.23,0.12,4.08,0.53,0.04,0.63,22.0,34.0,54253785856.0,79715.0,341205450110.0,1753730.0
28.0,0.72,0.56,0.53,0.23,0.12,4.08,0.53,0.04,0.63,22.0,34.0,49591351134.0,79715.0,426824705914.0,1753730.0
29.0,0.73,0.56,0.53,0.23,0.12,4.08,0.53,0.04,0.63,22.0,34.0,52558355048.0,79715.0,254738478902.0,1753730.0
30.0,0.73,0.36,0.79,0.23,0.12,4.08,0.79,0.04,0.47,23.0,35.0,54540513125.0,79715.0,536678649150.0,1833445.0
31.0,0.74,0.36,0.79,0.23,0.12,4.08,0.79,0.04,0.47,23.0,35.0,51486244390.0,79715.0,452468096885.0,1833445.0
32.0,0.75,0.36,0.79,0.23,0.12,4.08,0.79,0.04,0.47,23.0,35.0,54104189020.0,79715.0,392691694500.0,1833445.0
33.0,0.75,5.88,2.6,0.23,0.12,4.08,2.6,0.04,4.32,24.0,36.0,53854860960.0,79715.0,414233638884.0,1913160.0
34.0,0.76,5.88,2.6,0.23,0.12,4.08,2.6,0.04,4.32,24.0,36.0,56098813500.0,79715.0,484693748640.0,1913160.0
35.0,0.76,0.54,0.65,0.23,0.12,4.08,0.65,0.04,0.49,25.0,37.0,84410014713.0,79715.0,637457051002.0,1992875.0
36.0,0.76,0.54,0.65,0.23,0.12,4.08,0.65,0.04,0.49,25.0,37.0,58579627697.0,79715.0,468175764665.0,1992875.0
37.0,0.76,0.54,0.65,0.23,0.12,4.08,0.65,0.04,0.49,25.0,37.0,57195856964.0,79715.0,373156840999.0,1992875.0
38.0,0.77,0.54,0.65,0.23,0.12,4.08,0.65,0.04,0.49,25.0,37.0,54428315498.0,79715.0,378230667020.0,1992875.0
39.0,0.77,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,42635098260.0,79715.0,345818019220.0,2072590.0
40.0,0.77,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,58741690936.0,79715.0,553308830752.0,2072590.0
41.0,0.78,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,57794244308.0,79715.0,540518301274.0,2072590.0
42.0,0.78,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,59689137564.0,79715.0,427298429228.0,2072590.0
43.0,0.77,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,58267967622.0,79715.0,472775867372.0,2072590.0
44.0,0.78,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,58267967622.0,79715.0,582679676220.0,2072590.0
45.0,0.78,6.06,3.92,1.61,0.86,28.57,3.92,0.28,5.37,26.0,38.0,16580315990.0,79715.0,251547079734.0,2072590.0
