round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
43.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30916679440.0,79715.0,221901973400.0,1594300.0
44.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32412647800.0,79715.0,202953040840.0,1594300.0
45.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30168695260.0,79715.0,160068614520.0,1594300.0
46.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30418023320.0,79715.0,181261499620.0,1594300.0
47.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30418023320.0,79715.0,194974542920.0,1594300.0
48.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,24184821820.0,79715.0,171039049160.0,1594300.0
49.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31664663620.0,79715.0,222400629520.0,1594300.0
50.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40141817660.0,79715.0,230628455500.0,1594300.0
51.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30667351380.0,79715.0,191483950080.0,1594300.0
52.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,33160631980.0,79715.0,212926163240.0,1594300.0
53.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31166007500.0,79715.0,146355571220.0,1594300.0
54.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31415335560.0,79715.0,157076677800.0,1594300.0
55.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31166007500.0,79715.0,147602211520.0,1594300.0
56.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29670039140.0,79715.0,139873041660.0,1594300.0
57.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29919367200.0,79715.0,191733278140.0,1594300.0
58.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30667351380.0,79715.0,252569324780.0,1594300.0
59.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30667351380.0,79715.0,176274938420.0,1594300.0
60.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29670039140.0,79715.0,188242685300.0,1594300.0
61.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30667351380.0,79715.0,261794463000.0,1594300.0
62.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29171383020.0,79715.0,214172803540.0,1594300.0
63.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,25431462120.0,79715.0,155830037500.0,1594300.0
64.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,39393833480.0,79715.0,286976597060.0,1594300.0
65.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40141817660.0,79715.0,191483950080.0,1594300.0
66.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29420711080.0,79715.0,206194305620.0,1594300.0
67.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,30418023320.0,79715.0,212178179060.0,1594300.0
68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29171383020.0,79715.0,196221183220.0,1594300.0
69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29670039140.0,79715.0,203451696960.0,1594300.0
70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,31166007500.0,79715.0,212427507120.0,1594300.0
71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,38645849300.0,79715.0,219658020860.0,1594300.0
72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32412647800.0,79715.0,156578021680.0,1594300.0
73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,28174070780.0,79715.0,178020234840.0,1594300.0
74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,29420711080.0,79715.0,152588772720.0,1594300.0
