round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.08,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30916679440.0,79715.0,195971855160.0,1594300.0
2.0,0.21,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,33160631980.0,79715.0,230129799380.0,1594300.0
3.0,0.31,1000000000.0,1000000000.0,0.24,0.35,0.31,1000000000.0,0.24,1000000000.0,21.0,21.0,37174813746.0,79715.0,240065522571.0,1674015.0
4.0,0.39,0.97,0.5,0.24,0.35,0.31,0.5,0.24,0.61,22.0,20.0,30667351380.0,79715.0,261545134940.0,1753730.0
5.0,0.44,0.18,1.3,0.24,0.35,0.18,0.5,1.59,0.61,23.0,19.0,30081430439.0,79715.0,301051166047.0,1833445.0
6.0,0.49,13.39,3.26,0.24,0.35,13.39,0.5,3.43,0.61,24.0,18.0,28273802004.0,79715.0,254464218036.0,1913160.0
7.0,0.53,0.43,0.29,0.24,0.35,0.43,0.5,0.52,0.61,25.0,17.0,28186537183.0,79715.0,254102692349.0,1992875.0
8.0,0.55,1.21,1.87,0.24,0.35,1.21,0.5,0.74,0.61,26.0,16.0,28722592512.0,79715.0,287026462672.0,2072590.0
9.0,0.59,6.36,6.07,0.24,0.35,6.36,0.5,7.53,0.61,27.0,15.0,23374505625.0,79715.0,232623079980.0,2152305.0
10.0,0.61,1.11,0.98,0.24,0.35,1.11,0.5,1.04,0.61,28.0,14.0,22339794176.0,79715.0,190062780138.0,2232020.0
11.0,0.63,0.5,0.78,0.24,0.35,0.5,0.5,0.34,0.61,29.0,13.0,29171383020.0,79715.0,219919815323.0,2311735.0
12.0,0.63,1.32,0.47,0.24,0.35,1.32,0.5,1.15,0.61,30.0,12.0,18699604500.0,79715.0,216466621692.0,2391450.0
13.0,0.65,1.32,0.47,0.24,0.35,1.32,0.5,1.15,0.61,30.0,12.0,17951620320.0,79715.0,176524266480.0,2391450.0
