round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,31415335560.0,79715.0,227636518780.0,1594300.0
2.0,0.21,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30916679440.0,79715.0,225143238180.0,1594300.0
3.0,0.3,1000000000.0,1000000000.0,0.17,0.16,0.17,1000000000.0,0.17,1000000000.0,21.0,21.0,31938924486.0,79715.0,144772338039.0,1674015.0
4.0,0.35,1.3,1.22,0.17,0.16,0.17,1.22,0.17,1.54,22.0,22.0,32088521322.0,79715.0,199113388716.0,1753730.0
5.0,0.43,4.43,5.0,1.01,0.95,1.03,5.0,1.01,4.55,23.0,23.0,34693999549.0,79715.0,224507451627.0,1833445.0
6.0,0.47,0.76,0.86,1.01,0.95,1.03,0.86,1.01,0.77,22.0,22.0,35379651714.0,79715.0,271243996474.0,1753730.0
7.0,0.52,4.54,5.16,2.0,0.96,1.23,5.16,2.0,4.6,23.0,23.0,34693999549.0,79715.0,211317997253.0,1833445.0
8.0,0.56,0.24,0.31,2.0,0.96,1.23,0.31,2.0,0.46,22.0,22.0,33734086518.0,79715.0,201855997376.0,1753730.0
9.0,0.57,0.24,0.31,1.06,1.01,1.46,0.31,1.06,0.46,21.0,21.0,30891746634.0,79715.0,206032242381.0,1674015.0
10.0,0.59,0.24,0.31,1.06,1.01,1.46,0.31,1.06,0.46,21.0,21.0,31938924486.0,79715.0,215456843049.0,1674015.0
11.0,0.6,1.47,1.83,16.77,14.98,16.24,1.83,16.77,2.77,20.0,20.0,31166007500.0,79715.0,171288377220.0,1594300.0
12.0,0.62,1.47,1.83,0.32,0.15,0.1,1.83,0.32,2.77,21.0,21.0,8115628353.0,79715.0,139536448779.0,1674015.0
13.0,0.63,9.7,0.26,0.32,0.15,0.1,0.26,0.32,0.26,22.0,20.0,31166007500.0,79715.0,280244739440.0,1753730.0
14.0,0.66,0.69,12.17,0.32,0.15,0.69,0.26,2.31,0.26,23.0,19.0,29844568782.0,79715.0,193989697083.0,1833445.0
15.0,0.65,0.33,0.68,0.32,0.15,0.33,0.26,1.2,0.26,22.0,18.0,28049406750.0,79715.0,203750890632.0,1753730.0
16.0,0.66,0.33,0.68,0.32,0.15,0.33,0.26,1.2,0.26,22.0,18.0,19297991844.0,79715.0,144959334084.0,1753730.0
17.0,0.67,0.33,0.68,0.32,0.15,0.33,0.26,1.2,0.26,22.0,18.0,24683477940.0,79715.0,136432314432.0,1753730.0
18.0,0.69,2.0,4.11,3.19,16.83,8.26,1.53,3.19,1.56,21.0,17.0,26491106375.0,79715.0,189252463943.0,1674015.0
19.0,0.7,2.0,4.11,0.99,1.02,1.03,1.53,0.99,1.56,22.0,18.0,28722592512.0,79715.0,166501278468.0,1753730.0
20.0,0.7,2.0,4.11,0.99,1.02,1.03,1.53,0.99,1.56,22.0,18.0,27600616242.0,79715.0,183330922518.0,1753730.0
21.0,0.71,2.0,4.11,0.99,1.02,1.03,1.53,0.99,1.56,22.0,18.0,33210497592.0,79715.0,218336582142.0,1753730.0
22.0,0.71,1.06,0.79,5.97,6.1,6.2,0.79,5.97,0.79,21.0,17.0,23312173610.0,79715.0,141780401319.0,1674015.0
23.0,0.72,1.06,0.79,5.97,6.1,6.2,0.79,5.97,0.79,21.0,17.0,24159889014.0,79715.0,150045626508.0,1674015.0
24.0,0.72,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,20419968114.0,79715.0,154159539498.0,1753730.0
25.0,0.73,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,26927430480.0,79715.0,187145641836.0,1753730.0
26.0,0.72,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,21990734892.0,79715.0,172559950326.0,1753730.0
27.0,0.73,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,28498197258.0,79715.0,228209973318.0,1753730.0
28.0,0.73,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,56098813500.0,79715.0,211380329268.0,1753730.0
29.0,0.74,1.06,0.79,0.22,0.06,0.18,0.79,0.22,0.79,22.0,18.0,26478639972.0,79715.0,192979918440.0,1753730.0
30.0,0.73,9.76,10.93,1.34,0.37,1.06,10.93,1.34,24.32,23.0,19.0,28897122154.0,79715.0,231650700546.0,1833445.0
31.0,0.75,9.76,10.93,1.34,0.37,1.06,10.93,1.34,24.32,23.0,19.0,29370845468.0,79715.0,207727673189.0,1833445.0
32.0,0.75,9.76,10.93,1.34,0.37,1.06,10.93,1.34,24.32,23.0,19.0,29844568782.0,79715.0,219570756039.0,1833445.0
33.0,0.75,9.76,10.93,1.34,0.37,1.06,10.93,1.34,24.32,23.0,19.0,29844568782.0,79715.0,220281341010.0,1833445.0
34.0,0.75,0.14,0.21,1.34,0.37,1.06,0.21,1.34,0.3,22.0,18.0,24907873194.0,79715.0,181535760486.0,1753730.0
35.0,0.76,0.14,0.21,1.34,0.37,1.06,0.21,1.34,0.3,22.0,18.0,28049406750.0,79715.0,226639206540.0,1753730.0
36.0,0.76,0.14,0.21,1.34,0.37,1.06,0.21,1.34,0.3,22.0,18.0,28722592512.0,79715.0,136656709686.0,1753730.0
