round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,27426086600.0,79715.0,185998732760.0,1594300.0
2.0,0.19,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,29670039140.0,79715.0,193727902620.0,1594300.0
3.0,0.23,1000000000.0,1000000000.0,0.02,0.02,0.06,1000000000.0,0.02,1000000000.0,21.0,21.0,59165548638.0,79715.0,230640921903.0,1674015.0
4.0,0.36,73.07,64.47,0.07,0.09,0.23,64.47,0.07,69.85,22.0,22.0,35105390848.0,79715.0,304703822126.0,1753730.0
5.0,0.42,1.03,1.18,0.07,0.09,0.23,1.18,0.07,1.12,23.0,23.0,34693999549.0,79715.0,303930905140.0,1833445.0
6.0,0.49,0.18,0.36,0.29,0.36,0.92,0.36,0.29,0.43,22.0,22.0,38945042972.0,79715.0,242995127276.0,1753730.0
7.0,0.53,0.18,0.36,0.33,0.03,0.41,0.36,0.33,0.43,21.0,21.0,47123003340.0,79715.0,365726864811.0,1674015.0
8.0,0.55,0.72,1.45,8.67,43.77,6.59,1.45,8.67,1.7,20.0,20.0,30418023320.0,79715.0,212427507120.0,1594300.0
9.0,0.59,0.72,1.45,0.29,2.44,0.6,1.45,0.29,1.7,19.0,21.0,34033280190.0,79715.0,256296779277.0,1514585.0
10.0,0.6,0.72,1.45,3.07,1.2,0.6,1.1,0.29,1.2,18.0,22.0,32637043054.0,79715.0,195822258324.0,1434870.0
11.0,0.62,0.72,1.45,3.07,1.2,0.6,1.1,0.29,1.2,18.0,22.0,60885912252.0,79715.0,274809387732.0,1434870.0
12.0,0.63,2.87,5.8,2.45,1.62,2.42,1.92,1.18,1.62,19.0,21.0,38745580524.0,79715.0,245039617368.0,1514585.0
