round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,29670039140.0,79715.0,179516203200.0,1594300.0
2.0,0.19,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,29919367200.0,79715.0,251073356420.0,1594300.0
3.0,0.27,1000000000.0,1000000000.0,0.25,0.1,0.1,1000000000.0,0.25,1000000000.0,21.0,21.0,32200718949.0,79715.0,201319942047.0,1674015.0
4.0,0.35,5.22,3.86,0.25,0.1,0.1,3.86,0.25,4.48,22.0,22.0,34008347384.0,79715.0,226539475316.0,1753730.0
5.0,0.4,0.31,0.51,0.25,0.1,0.1,0.51,0.25,0.34,23.0,23.0,36127635894.0,79715.0,272677632819.0,1833445.0
6.0,0.47,5.48,3.1,1.26,0.52,0.49,3.1,1.26,4.9,24.0,24.0,47272600176.0,79715.0,372795315312.0,1913160.0
7.0,0.51,0.23,0.45,1.26,0.52,0.49,0.45,1.26,0.33,23.0,23.0,31826726859.0,79715.0,256334178486.0,1833445.0
8.0,0.51,0.23,0.45,0.4,3.15,0.33,0.45,0.4,0.33,22.0,24.0,34108078608.0,79715.0,224993641344.0,1753730.0
9.0,0.52,0.23,0.45,0.4,3.15,0.33,0.45,0.4,0.33,22.0,24.0,37100015328.0,79715.0,263589625032.0,1753730.0
10.0,0.58,1.15,2.24,87.65,13.21,1.64,12.8,2.0,13.21,21.0,25.0,39892489600.0,79715.0,283299008175.0,1674015.0
11.0,0.59,1.15,2.24,1.04,1.07,1.64,1.06,2.0,1.07,22.0,24.0,34706465952.0,79715.0,203750890632.0,1753730.0
12.0,0.62,1.15,2.24,1.04,1.07,1.64,1.06,2.0,1.07,22.0,24.0,36501627984.0,79715.0,265983174408.0,1753730.0
13.0,0.63,0.28,0.3,5.2,5.37,0.28,5.28,0.26,5.37,21.0,25.0,52670552675.0,79715.0,308855134325.0,1674015.0
14.0,0.65,1.41,1.48,2.68,1.27,1.41,1.44,1.3,1.27,20.0,24.0,35304853296.0,79715.0,271667854176.0,1594300.0
15.0,0.65,1.41,1.48,0.88,1.09,0.99,1.44,0.88,1.27,21.0,23.0,35840908625.0,79715.0,230241997007.0,1674015.0
16.0,0.66,1.41,1.48,0.88,1.09,0.99,1.44,0.88,1.27,21.0,23.0,34407272280.0,79715.0,237410178732.0,1674015.0
17.0,0.66,1.13,2.33,4.42,5.43,1.13,7.19,1.43,6.35,20.0,24.0,46075825488.0,79715.0,303083189736.0,1594300.0
