round,accuracy,eta_t,eta_q,eta_z,eta_v,zeta_t,zeta_q,zeta_z,zeta_v,M,E,compT,transT,compL,transL
1.0,0.09,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30418023320.0,79715.0,190735965900.0,1594300.0
2.0,0.21,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,20.0,20.0,30916679440.0,79715.0,171787033340.0,1594300.0
3.0,0.27,1000000000.0,1000000000.0,0.35,0.28,0.27,1000000000.0,0.35,1000000000.0,21.0,21.0,31677130023.0,79715.0,207079420233.0,1674015.0
4.0,0.38,3.29,2.96,0.35,0.28,0.27,2.96,0.35,3.24,22.0,22.0,34282608250.0,79715.0,295104691816.0,1753730.0
5.0,0.44,0.8,0.89,0.35,0.28,0.27,0.89,0.35,0.81,21.0,23.0,34980726818.0,79715.0,268950178322.0,1674015.0
6.0,0.47,0.8,0.89,2.52,1.16,0.27,1.15,0.35,1.16,20.0,24.0,36800821656.0,79715.0,262991237688.0,1594300.0
7.0,0.53,0.8,0.89,1.25,1.11,0.27,1.21,0.35,1.11,19.0,25.0,38334189225.0,79715.0,149596836000.0,1514585.0
8.0,0.55,0.8,0.89,1.81,1.26,0.27,1.08,0.35,1.26,18.0,26.0,40515809750.0,79715.0,213275222524.0,1434870.0
9.0,0.55,0.8,0.89,1.45,2.0,0.27,2.46,0.35,2.0,17.0,27.0,40391145720.0,79715.0,171325776429.0,1355155.0
10.0,0.57,0.8,0.89,1.45,2.0,0.27,2.46,0.35,2.0,17.0,27.0,39381367077.0,79715.0,202628914362.0,1355155.0
11.0,0.6,0.8,0.89,1.13,1.59,0.27,1.73,0.35,1.59,16.0,28.0,44679588352.0,79715.0,304728754932.0,1275440.0
12.0,0.58,0.8,0.89,1.01,1.39,0.27,1.28,0.35,1.39,15.0,29.0,41575454005.0,79715.0,221976771818.0,1195725.0
13.0,0.6,0.8,0.89,1.01,1.39,0.27,1.28,0.35,1.39,15.0,29.0,41213928318.0,79715.0,199200653537.0,1195725.0
14.0,0.62,0.8,0.89,1.01,1.39,0.27,1.28,0.35,1.39,15.0,29.0,36152568700.0,79715.0,158709776593.0,1195725.0
15.0,0.64,0.8,0.89,1.38,1.0,0.27,1.2,0.35,1.0,14.0,30.0,41513121990.0,79715.0,172784345580.0,1116010.0
16.0,0.65,0.8,0.89,1.06,0.8,0.27,0.74,0.35,0.8,13.0,31.0,46761477653.0,79715.0,244241767576.0,1036295.0
17.0,0.66,0.8,0.89,1.06,0.8,0.27,0.74,0.35,0.8,13.0,31.0,48307311625.0,79715.0,191296954035.0,1036295.0
18.0,0.66,0.8,0.89,0.82,0.44,0.27,0.61,0.35,0.44,12.0,32.0,37100015328.0,79715.0,155979634336.0,956580.0
19.0,0.67,0.8,0.89,0.82,0.44,0.27,0.61,0.35,0.44,12.0,32.0,47472062624.0,79715.0,266082905632.0,956580.0
20.0,0.68,0.8,0.89,0.82,0.44,0.27,0.61,0.35,0.44,12.0,32.0,39892489600.0,79715.0,143612962560.0,956580.0
21.0,0.66,0.8,0.89,0.93,1.65,0.27,1.79,0.35,1.65,11.0,33.0,40316347302.0,79715.0,185126084550.0,876865.0
22.0,0.68,0.8,0.89,0.93,1.65,0.27,1.79,0.35,1.65,11.0,33.0,50189738478.0,79715.0,181834954158.0,876865.0
23.0,0.69,0.8,0.89,0.93,1.65,0.27,1.79,0.35,1.65,11.0,33.0,50189738478.0,79715.0,187594432344.0,876865.0
24.0,0.68,0.8,0.89,2.03,1.51,0.27,1.67,0.35,1.51,10.0,34.0,48319778028.0,79715.0,202603981556.0,797150.0
25.0,0.67,0.8,0.89,2.03,1.51,0.27,1.67,0.35,1.51,10.0,34.0,49167493432.0,79715.0,134786749236.0,797150.0
26.0,0.69,0.8,0.89,2.03,1.51,0.27,1.67,0.35,1.51,10.0,34.0,39842623988.0,79715.0,107235998606.0,797150.0
27.0,0.7,0.8,0.89,2.03,1.51,0.27,1.67,0.35,1.51,10.0,34.0,38571050882.0,79715.0,135634464640.0,797150.0
28.0,0.69,0.8,0.89,0.3,0.06,0.27,0.3,0.35,0.06,9.0,33.0,49366955880.0,79715.0,105316172544.0,717435.0
